indicator,survey_id,survey_mid_calendar_quarter,area_id,restype,sex,age_group,n_cluster,n_obs,est,se,ci_l,ci_u
prev,MWI2004DHS,CY2004Q4,MWI,all,male,30-34,243,355,0.20376456823436723,0.028603218642257757,0.15336288137873297,0.2655353213509159
prev,MWI2004DHS,CY2004Q4,MWI,all,male,35-39,183,223,0.1841635844992594,0.03278228064465837,0.12830475830648647,0.2571666517636867
prev,MWI2004DHS,CY2004Q4,MWI,all,male,35-49,338,579,0.15682360497761758,0.018598723601960597,0.1237126995196245,0.19680612423131846
prev,MWI2004DHS,CY2004Q4,MWI,all,male,40-44,181,228,0.16453974878309774,0.030366126320472933,0.11326824062971068,0.23292331679859044
prev,MWI2004DHS,CY2004Q4,MWI,all,male,45-49,108,128,0.09480675261529527,0.0270650534967175,0.053432002099717095,0.162712497134382
prev,MWI2004DHS,CY2004Q4,MWI,all,male,50-54,112,132,0.10548248030156034,0.031630140973519745,0.05760789567770724,0.18531908052614293
prev,MWI2004DHS,CY2004Q4,MWI,all,female,15-19,310,545,0.03689676053205053,0.008832327528479143,0.02299564500328552,0.05869639310974604
prev,MWI2004DHS,CY2004Q4,MWI,all,female,15-24,436,1236,0.0909830506470672,0.009088577442638891,0.07466989397879091,0.11043480464436424
prev,MWI2004DHS,CY2004Q4,MWI,all,female,15-49,502,2864,0.13318194078510692,0.007947639938681122,0.11836090372150836,0.14954405909793278
prev,MWI2004DHS,CY2004Q4,MWI,all,female,20-24,360,691,0.1318823342379176,0.01550449267863665,0.10434605439614603,0.16534379471773056
prev,MWI2004DHS,CY2004Q4,MWI,all,female,25-29,316,527,0.155416112608967,0.01800074740231498,0.12330267431003653,0.19404212740149487
prev,MWI2004DHS,CY2004Q4,MWI,all,female,25-34,415,915,0.16667290658338632,0.014669710321554497,0.1398661727695862,0.1974380731622638
prev,MWI2004DHS,CY2004Q4,MWI,all,female,30-34,265,388,0.18074151193564464,0.022649633568576858,0.14050150081998142,0.229429989284375
prev,MWI2004DHS,CY2004Q4,MWI,all,female,35-39,210,277,0.1700220526937173,0.02440289936970295,0.1273709351558823,0.22330052816808277
prev,MWI2004DHS,CY2004Q4,MWI,all,female,35-49,360,713,0.1635802891622438,0.015433032813803113,0.13553230713133058,0.19611589828227904
prev,MWI2004DHS,CY2004Q4,MWI,all,female,40-44,189,245,0.17890917633085865,0.029299541228726394,0.1284567821273741,0.24363774551903508
prev,MWI2004DHS,CY2004Q4,MWI,all,female,45-49,149,191,0.13320713879285628,0.025726659989756446,0.09033099198408666,0.19213617084899293
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,both,15-19,51,192,0.03629755179053524,0.014896563038721819,0.016084237988094933,0.07985167151986153
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,both,15-24,59,381,0.05521357349013285,0.013709922928539764,0.03373623463243059,0.08910308454584569
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,both,15-49,59,818,0.08084591142379016,0.014214334262414034,0.057010493676886875,0.11344774622498961
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,both,20-24,58,189,0.0748574775098684,0.02564525948912208,0.03768236269362598,0.14324799182718967
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,both,25-29,50,140,0.07912332582480067,0.02659702736347505,0.04031963743123887,0.14945586636785435
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,both,25-34,57,233,0.08163347640901923,0.02150543874922983,0.048218872147513026,0.13492120260372054
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,both,30-34,44,93,0.08531089359656077,0.025149710680001075,0.04724681015077898,0.1492375762535379
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,both,35-39,41,71,0.2066345112978394,0.06779768960795496,0.10378159357395011,0.36940520534899435
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,both,35-49,53,204,0.12885068095938812,0.03264485114327334,0.07718878730705482,0.20732135418081415
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,both,40-44,42,82,0.08509469894773733,0.039423655757438086,0.0333252645958327,0.20059730512178023
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,both,45-49,32,51,0.08312417995296885,0.03258729056663825,0.0377363644968351,0.17327265399038305
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,male,15-19,38,81,0,0,NA,NA
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,male,15-24,50,156,0.007033079930425561,0.007035829239617378,9.82241696061283e-4,0.04854714143482944
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,male,15-49,59,370,0.053952851177479146,0.012031596903212193,0.03468375914069255,0.08300664803514358
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,male,20-24,43,75,0.014758515783486713,0.014571450957519242,0.00209694376136582,0.0964804082173319
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,male,25-29,40,73,0.07334719496031429,0.03128745608521807,0.031110481837563455,0.16326351934026415
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,male,25-34,48,124,0.08178642817109323,0.025937133476256036,0.04330357988731568,0.1491368984394607
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,male,30-34,31,51,0.09404782689975254,0.03749786287255215,0.04197637719362907,0.1974037426783598
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,male,35-39,25,32,0.23880607656788502,0.08511917232643147,0.11135165775219338,0.4399255188427713
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,male,35-49,46,90,0.0999458626769156,0.037506684937094914,0.04675205797893528,0.2009069178532547
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,male,40-44,26,33,0,0,NA,NA
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,male,45-49,21,25,0.03027327930033361,0.03044074664067989,0.004073867052119509,0.19241135224983422
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,male,50-54,19,24,0.11809912274026554,0.07940647995512597,0.029174416246368316,0.37372810246715454
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,female,15-19,41,111,0.06404415264816217,0.024851057389993103,0.02946739547497971,0.1336076249397421
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,female,15-24,56,225,0.0903384224397131,0.021411814146528464,0.056242837792053225,0.14199362648458902
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,female,15-49,59,448,0.10409380817158514,0.01872476080917944,0.07269078913529003,0.14691386706624693
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,female,20-24,49,114,0.11655067320936324,0.04201153979346799,0.05597776266652891,0.22691379388523214
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,female,25-29,39,67,0.0862118013988114,0.03390504588865045,0.0390034385645683,0.17986499023272198
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,female,25-34,50,109,0.08144435384849791,0.023660533004523712,0.04553105934516242,0.141485714966147
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,female,30-34,30,42,0.07438774939465635,0.035993302799363185,0.02803874661368032,0.18293321372963778
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,female,35-39,27,39,0.17830921409329267,0.07619414867235373,0.07262081868414624,0.37552669614289247
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,female,35-49,48,114,0.15185605806650937,0.03955862269646725,0.08930871348026542,0.24635837928207038
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,female,40-44,33,49,0.137362234099269,0.061553080803938856,0.05439767661628403,0.30592371378883765
prev,MWI2004DHS,CY2004Q4,MWI_1_1,all,female,45-49,19,26,0.13867137775781999,0.06028247677298819,0.056488700904288175,0.30213101925075214
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,both,15-19,139,325,0.006782996308878079,0.004187294957331586,0.0020157971394493615,0.022569279581044963
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,both,15-24,169,708,0.02713420305637196,0.006338670520511202,0.017122729247122624,0.042744707518876206
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,both,15-49,183,1802,0.06482520088013055,0.008570462418680393,0.04991994002676742,0.0837884334911856
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,both,20-24,143,383,0.04329228559312385,0.010542760153286026,0.026741775697310694,0.06935597950312425
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,both,25-29,146,355,0.041102410795448796,0.011409833771897715,0.023727301253089167,0.07028501901635575
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,both,25-34,168,617,0.08108320904054951,0.01512901091310715,0.05595158156658866,0.116114721514397
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,both,30-34,129,262,0.1314480790034401,0.02907609959106462,0.08414095591916813,0.19955757313742462
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,both,35-39,115,186,0.10337031733233346,0.027159943641945,0.0609586546532141,0.1699493181421853
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,both,35-49,158,477,0.09537966319279431,0.016830118760622056,0.06710978026288984,0.13384955489357275
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,both,40-44,104,178,0.11874207184102237,0.02824039867145834,0.07355354730232219,0.18611553661879315
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,both,45-49,80,113,0.04884609369498194,0.017394280210196473,0.024061299100872315,0.09663306278995307
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,male,15-19,88,146,0,0,NA,NA
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,male,15-24,125,298,0.011934792069687013,0.007000020099347298,0.0037593653064609046,0.037224861423313334
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,male,15-49,180,826,0.06377235362792519,0.012930514487961974,0.042655306936395104,0.0943137485020496
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,male,20-24,94,152,0.02310969513045576,0.013575700111865749,0.007226608086704194,0.07139128738608205
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,male,25-29,120,180,0.025903837035507457,0.009853038843365176,0.01221916414533004,0.05407544825391124
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,male,25-34,142,298,0.09333461035015143,0.023757094712194126,0.056050381498249084,0.15144105324628993
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,male,30-34,83,118,0.19591191676077446,0.0535499597136807,0.11122369238180521,0.32174038397301047
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,male,35-39,76,92,0.09809612063698867,0.03693293956181225,0.045793320641473206,0.19775610219499207
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,male,35-49,133,230,0.083173552731618,0.02105230553873298,0.05015950343384459,0.134832312783509
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,male,40-44,65,82,0.07759956745052991,0.033961733171370675,0.032128165572238916,0.17574171117167542
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,male,45-49,47,56,0.06456224357472422,0.027995947088509922,0.027068664459924674,0.14618608305218567
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,male,50-54,42,53,0.03602065729692786,0.02684984042501167,0.00814213106977011,0.1453649965501744
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,female,15-19,113,179,0.012797406511590044,0.007892250482282146,0.003795919919627206,0.04223957297939679
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,female,15-24,158,410,0.03860689040154448,0.00994170802190457,0.02320445139180752,0.06356768476844937
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,female,15-49,178,976,0.06583974277504155,0.009149924759026587,0.05002070066276038,0.08620757017256309
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,female,20-24,123,231,0.05666415263631136,0.0154678338698393,0.032944326518713825,0.09577087509445634
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,female,25-29,106,175,0.06125809535553968,0.020154266042298988,0.03178796526946151,0.11480978897684312
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,female,25-34,146,319,0.06744747841351754,0.01612959551026395,0.04191920952557997,0.1067893130640605
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,female,30-34,102,144,0.07379694829162611,0.02271154817947775,0.03988587776737328,0.13255868773523138
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,female,35-39,70,94,0.11071013769406712,0.03377087520012071,0.05975978187993549,0.1960427823345218
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,female,35-49,125,247,0.10897100621644011,0.02324754378182653,0.07105702289920963,0.1635530665616641
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,female,40-44,71,96,0.1550799419347317,0.04557840257775022,0.08493815700148954,0.26628874592705987
prev,MWI2004DHS,CY2004Q4,MWI_1_2,all,female,45-49,47,57,0.0314710717816069,0.017985545395103993,0.010118550778532888,0.09362086370978508
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,both,15-19,202,483,0.025477899235053517,0.007468499805364321,0.01429153402259299,0.04502022477360452
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,both,15-24,249,1027,0.08806428795929197,0.010066918556202656,0.07022824776577545,0.10989478185774323
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,both,15-49,270,2516,0.17582314259581686,0.010163982144096396,0.15678071670821464,0.1966390790361281
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,both,20-24,218,544,0.1437397428249241,0.01681555384866382,0.1138152320770338,0.17993454957546992
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,both,25-29,206,490,0.21305878473368509,0.021797987512113235,0.17344597314474255,0.25888502119947177
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,both,25-34,251,878,0.2382248452198422,0.019445500091076953,0.20222382420568677,0.2783983976775465
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,both,30-34,199,388,0.26907778102340385,0.027132133749913648,0.2193100085147997,0.3254314880636698
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,both,35-39,153,243,0.2346665519178767,0.03300183434135903,0.17620164175334294,0.3053402725755987
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,both,35-49,221,611,0.23142099869586769,0.019934893329113842,0.19466553584309015,0.27276584148946675
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,both,40-44,142,213,0.25517934680242527,0.03576493001946245,0.19154665706421112,0.33128872293365563
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,both,45-49,114,155,0.19116873161186118,0.03614477645722937,0.13004107422031205,0.2720449261201885
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,male,15-19,141,228,0.008197122066450924,0.005957468278978803,0.0019617235652239257,0.03358498313890876
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,male,15-24,201,426,0.032353993450898684,0.00985098076689476,0.017725927850912697,0.05833673277588809
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,male,15-49,260,1076,0.15100068718677606,0.013941077415421017,0.12565767233793743,0.18040036745977936
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,male,20-24,139,198,0.05992173608254682,0.019692275460239727,0.03112604827629265,0.11227027994007865
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,male,25-29,134,205,0.18509158216394112,0.033643191472522975,0.12792910865757848,0.26017570191833755
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,male,25-34,194,391,0.2097584842480085,0.026523491801237586,0.16246524117442926,0.26643909345400046
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,male,30-34,129,186,0.23586793923465113,0.03827798514255337,0.16914149344280896,0.31881711077909425
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,male,35-39,82,99,0.2679738235466662,0.054904754572807184,0.17458049501953515,0.38785250827072515
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,male,35-49,159,259,0.24988569777202915,0.03137596394451318,0.19351981789073394,0.31623156098593763
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,male,40-44,90,113,0.2709513713185893,0.05002190309081013,0.18450487503680627,0.3790735029299288
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,male,45-49,40,47,0.164047892378328,0.05920105455771996,0.07766381829439266,0.3138232034142173
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,male,50-54,51,55,0.16947604376943481,0.05872055948075229,0.0826393533579445,0.31611673034659776
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,female,15-19,156,255,0.04366484566181005,0.013875897199388827,0.0232518495716664,0.0805212328409957
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,female,15-24,222,601,0.13418998659743048,0.014369960522526445,0.10843526291939212,0.16493018381213193
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,female,15-49,265,1440,0.19809360068492282,0.011656483886985348,0.17623412551207657,0.22193396816318084
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,female,20-24,188,346,0.19955195857126998,0.02420616410263334,0.15628724782730627,0.2512272728885667
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,female,25-29,171,285,0.2367488894716898,0.027872957411464436,0.18650022288903725,0.2956163071565213
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,female,25-34,219,487,0.26570674009640366,0.022458869877037015,0.22406576954354498,0.31197494116456315
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,female,30-34,133,202,0.30670346456451214,0.035941237388960795,0.2410625926761114,0.3812395708511281
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,female,35-39,113,144,0.20777043354957175,0.03532495734251695,0.146910326986506,0.28540789011261825
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,female,35-49,187,352,0.21439855424426055,0.0218905794816166,0.17460387691308463,0.2604016060026561
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,female,40-44,85,100,0.23236693465115044,0.04734148800948257,0.15249252317282116,0.33742195629210786
prev,MWI2004DHS,CY2004Q4,MWI_1_3,all,female,45-49,83,108,0.20732140579371144,0.042754629764864216,0.1357492658396722,0.30338257358905246
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,both,15-19,51,192,0.03629755179053524,0.014896563038721819,0.016084237988094933,0.07985167151986153
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,both,15-24,59,381,0.05521357349013285,0.013709953183218793,0.03373619757688503,0.08910317680794078
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,both,15-49,59,818,0.08084591142379016,0.014214361480399354,0.05701045508293906,0.11344781842845018
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,both,20-24,58,189,0.0748574775098684,0.025645332877350286,0.03768228737770066,0.1432482467300199
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,both,25-29,50,140,0.07912332582480067,0.026597110065545986,0.04031955135143839,0.1494561491608368
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,both,25-34,57,233,0.08163347640901923,0.021505486406870243,0.04821881496671872,0.1349213480264729
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,both,30-34,44,93,0.08531089359656077,0.025149710680001075,0.04724681015077898,0.1492375762535379
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,both,35-39,41,71,0.2066345112978394,0.06779768960795496,0.10378159357395011,0.36940520534899435
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,both,35-49,53,204,0.12885068095938812,0.03264485114327334,0.07718878730705482,0.20732135418081415
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,both,40-44,42,82,0.08509469894773733,0.039423655757438086,0.0333252645958327,0.20059730512178023
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,both,45-49,32,51,0.08312417995296885,0.03258729056663825,0.0377363644968351,0.17327265399038305
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,male,15-19,38,81,0,0,NA,NA
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,male,15-24,50,156,0.007033079930425561,0.007035829239617378,9.82241696061283e-4,0.04854714143482944
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,male,15-49,59,370,0.053952851177479146,0.01203162116014613,0.034683727955214814,0.0830067189334804
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,male,20-24,43,75,0.014758515783486713,0.014571450957519242,0.00209694376136582,0.0964804082173319
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,male,25-29,40,73,0.07334719496031429,0.031287638310575516,0.031110323444458434,0.16326423719236224
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,male,25-34,48,124,0.08178642817109323,0.025937221885291788,0.04330348429625349,0.14913719123532929
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,male,30-34,31,51,0.09404782689975254,0.03749786287255215,0.04197637719362907,0.1974037426783598
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,male,35-39,25,32,0.23880607656788502,0.08511917232643147,0.11135165775219338,0.4399255188427713
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,male,35-49,46,90,0.0999458626769156,0.037506684937094914,0.04675205797893528,0.2009069178532547
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,male,40-44,26,33,0,0,NA,NA
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,male,45-49,21,25,0.03027327930033361,0.03044074664067989,0.004073867052119509,0.19241135224983422
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,male,50-54,19,24,0.11809912274026554,0.07940647995512597,0.029174416246368316,0.37372810246715454
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,female,15-19,41,111,0.06404415264816217,0.024851057389993103,0.02946739547497971,0.1336076249397421
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,female,15-24,56,225,0.0903384224397131,0.02141187072440933,0.05624276616622776,0.1419937908846556
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,female,15-49,59,448,0.10409380817158514,0.018724798109462624,0.07269073629361249,0.14691396531534628
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,female,20-24,49,114,0.11655067320936324,0.04201170278019325,0.055977598720441245,0.22691433812852282
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,female,25-29,39,67,0.0862118013988114,0.03390504588865045,0.0390034385645683,0.17986499023272198
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,female,25-34,50,109,0.08144435384849791,0.023660533004523712,0.04553105934516242,0.141485714966147
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,female,30-34,30,42,0.07438774939465635,0.035993302799363185,0.02803874661368032,0.18293321372963778
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,female,35-39,27,39,0.17830921409329267,0.07619414867235373,0.07262081868414624,0.37552669614289247
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,female,35-49,48,114,0.15185605806650937,0.03955862269646725,0.08930871348026542,0.24635837928207038
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,female,40-44,33,49,0.137362234099269,0.061553080803938856,0.05439767661628403,0.30592371378883765
prev,MWI2004DHS,CY2004Q4,MWI_2_1,all,female,45-49,19,26,0.13867137775781999,0.06028247677298819,0.056488700904288175,0.30213101925075214
prev,MWI2004DHS,CY2004Q4,MWI_2_2,all,both,15-19,87,219,0.009440836183157619,0.007228621988242643,0.0020905708500334502,0.04155777230352385
prev,MWI2004DHS,CY2004Q4,MWI_2_2,all,both,15-24,95,473,0.03371199951150266,0.010316786945297501,0.018408978236608538,0.06094627724113202
prev,MWI2004DHS,CY2004Q4,MWI_2_2,all,both,15-49,100,1137,0.05557574938690898,0.008619218308333568,0.04090703523436242,0.07509263319453226
prev,MWI2004DHS,CY2004Q4,MWI_2_2,all,both,20-24,83,254,0.054988975226620794,0.01712068384968509,0.02960378006878759,0.09990097369203213
prev,MWI2004DHS,CY2004Q4,MWI_2_2,all,both,25-29,81,237,0.040507945841374904,0.017705515031103947,0.01699410176795528,0.09346327363492765
prev,MWI2004DHS,CY2004Q4,MWI_2_2,all,both,25-34,94,385,0.05901233505432899,0.015766515411775494,0.03470087326187709,0.09861634984392578
prev,MWI2004DHS,CY2004Q4,MWI_2_2,all,both,30-34,74,148,0.09195446786114446,0.02500526623393904,0.05330492676700021,0.15406685783125262
prev,MWI2004DHS,CY2004Q4,MWI_2_2,all,both,35-39,71,118,0.10128035702193235,0.02968891268846191,0.05612770635510258,0.17598412748213116
prev,MWI2004DHS,CY2004Q4,MWI_2_2,all,both,35-49,89,279,0.08897094912063569,0.019588688000119123,0.05732786503782687,0.1355681464740679
prev,MWI2004DHS,CY2004Q4,MWI_2_2,all,both,40-44,56,98,0.08483493698305698,0.031745283564446974,0.03993284801088909,0.17122219368205577
prev,MWI2004DHS,CY2004Q4,MWI_2_2,all,both,45-49,45,63,0.07002771141565924,0.030824605455213688,0.02891763335844612,0.1599543513716308
prev,MWI2004DHS,CY2004Q4,MWI_2_2,all,male,15-19,60,98,0,0,NA,NA
prev,MWI2004DHS,CY2004Q4,MWI_2_2,all,male,15-24,78,204,0.023930800835629505,0.015800092871494725,0.006469651825102288,0.0845098182091402
prev,MWI2004DHS,CY2004Q4,MWI_2_2,all,male,15-49,100,531,0.046898190173364974,0.009884657362505005,0.030913286574866892,0.07054698806984475
prev,MWI2004DHS,CY2004Q4,MWI_2_2,all,male,20-24,59,106,0.045662198780609314,0.030116293040420638,0.012197120848345962,0.15640673562695492
prev,MWI2004DHS,CY2004Q4,MWI_2_2,all,male,25-29,72,122,0.02806871843857542,0.01369700282111816,0.010679676967378952,0.0717187084279739
