indicator,survey_id,survey_mid_calendar_quarter,area_id,restype,sex,age_group,n_cluster,n_obs,est,se,ci_l,ci_u
prev,MWI2004DHS,CY2004Q4,MWI,all,both,15-19,392,1000,0.021035708925081848,0.0048601713992375605,0.01334943547161138,0.03299953023935002
prev,MWI2004DHS,CY2004Q4,MWI,all,both,15-24,477,2116,0.06019422194803898,0.006004860718437764,0.04944701248524357,0.07309768601889038
prev,MWI2004DHS,CY2004Q4,MWI,all,both,15-49,512,5136,0.11830933857108744,0.006909678706379366,0.10542327337073344,0.1325371305722404
prev,MWI2004DHS,CY2004Q4,MWI,all,both,20-24,419,1116,0.09451938786293426,0.01017881859048521,0.07636711060055694,0.11644245637423406
prev,MWI2004DHS,CY2004Q4,MWI,all,both,25-29,402,985,0.12585212058503786,0.012954939609585886,0.10257427627980435,0.15350894424154826
prev,MWI2004DHS,CY2004Q4,MWI,all,both,25-34,476,1728,0.15525311727279034,0.012247958224025244,0.132731566095154,0.18079942049399358
prev,MWI2004DHS,CY2004Q4,MWI,all,both,30-34,372,743,0.19247374653542268,0.018681630309660545,0.15847834404148145,0.23175323750739768
prev,MWI2004DHS,CY2004Q4,MWI,all,both,35-39,309,500,0.17716311221521716,0.02190197793885291,0.1382192860941852,0.22422458684544025
prev,MWI2004DHS,CY2004Q4,MWI,all,both,35-49,432,1292,0.16024139607606844,0.013218553935673654,0.13599445881863373,0.18787138718314364
prev,MWI2004DHS,CY2004Q4,MWI,all,both,40-44,288,473,0.17162110560356203,0.020947609345561127,0.13435702464659857,0.2166339495809797
prev,MWI2004DHS,CY2004Q4,MWI,all,both,45-49,226,319,0.11565565089397262,0.019442057859555623,0.08265606392612526,0.15953871542634535
prev,MWI2004DHS,CY2004Q4,MWI,all,male,15-19,267,455,0.004065178832531867,0.002958262778253984,9.738031296448593e-4,0.016805164818089902
prev,MWI2004DHS,CY2004Q4,MWI,all,male,15-24,376,880,0.020889368629399205,0.005472440213847223,0.012470807031988215,0.03479076261142944
prev,MWI2004DHS,CY2004Q4,MWI,all,male,15-49,499,2272,0.10210479068219708,0.00891463989247373,0.08590951683555663,0.12094915449925524
prev,MWI2004DHS,CY2004Q4,MWI,all,male,20-24,276,425,0.038664701347638934,0.010713910269926501,0.022349644728546947,0.06608456465378555
prev,MWI2004DHS,CY2004Q4,MWI,all,male,25-29,294,458,0.09810522746236763,0.016354228197493707,0.07038925456217372,0.13514786509711454
prev,MWI2004DHS,CY2004Q4,MWI,all,male,25-34,384,813,0.14441590207817423,0.016415673520466415,0.11511970173389188,0.17965388806966645
