country,indicator,colour,min,max,invert_scale
default,current_art,interpolateViridis,0,80000,FALSE
default,prevalence,interpolateMagma,0,0.5,TRUE
default,art_coverage,interpolateViridis,0,1,FALSE
default,vls,interpolateWarm,0,1,FALSE
default,recent,interpolatePlasma,0,0.6,TRUE
default,art_number,interpolateViridis,0,70000,FALSE
default,population,interpolateViridis,0,20000000,FALSE
default,plhiv,interpolateMagma,0,10000000,TRUE
default,incidence,interpolateMagma,0,0.01,TRUE
default,new_infections,interpolateMagma,0,40000,TRUE
Malawi,current_art,interpolateViridis,0,80000,FALSE
Malawi,prevalence,interpolateMagma,0,0.5,TRUE
Malawi,art_coverage,interpolateViridis,0,1,FALSE
Malawi,vls,interpolateWarm,0,1,FALSE
Malawi,recent,interpolatePlasma,0,0.6,TRUE
Malawi,art_number,interpolateViridis,0,70000,FALSE
Malawi,population,interpolateViridis,0,20000000,FALSE
Malawi,plhiv,interpolateMagma,0,10000000,TRUE
Malawi,incidence,interpolateMagma,0,0.01,TRUE
Malawi,new_infections,interpolateMagma,0,40000,TRUE
