district32,year,quarter,anc_clients,anc_known_pos,anc_known_neg,anc_already_art,anc_tested,anc_tested_pos,births_facility
Blantyre,2012,1,2790,54,50,0,1805,155,2075
Blantyre,2012,2,2443,58,21,49,1143,106,2070
Blantyre,2012,3,2420,53,80,50,1762,124,2382
Blantyre,2012,4,3005,65,57,50,2035,155,2246
Blantyre,2013,1,2677,94,34,63,1738,144,1966
Blantyre,2013,2,2561,66,29,49,1640,133,1886
Blantyre,2013,3,2693,71,189,53,1902,155,2179
Blantyre,2013,4,2756,76,103,46,2073,164,2057
Blantyre,2014,1,2853,88,69,71,2072,143,2018
Blantyre,2014,2,2231,82,72,63,1589,119,1715
Blantyre,2014,3,2872,99,61,85,2410,174,1974
Blantyre,2014,4,2553,114,40,99,2149,148,1965
Blantyre,2015,1,2688,136,90,90,2326,153,1895
Blantyre,2015,2,2290,96,52,68,1979,150,1813
Blantyre,2015,3,2899,144,96,140,2475,120,1732
Blantyre,2015,4,2704,120,142,101,2202,149,1953
Blantyre,2016,1,2792,144,158,135,2224,128,2052
Blantyre,2016,2,2515,130,26,117,2246,121,1918
Blantyre,2016,3,2622,142,22,138,2358,145,2154
Blantyre,2016,4,2627,144,33,127,2384,111,1815
Blantyre,2017,1,2459,123,34,106,2227,114,1929
Blantyre,2017,2,2490,132,38,120,2219,117,2101
Blantyre,2017,3,2918,177,56,166,2580,129,2275
Blantyre,2017,4,2519,191,66,187,2173,93,1997
Blantyre,2018,1,2873,235,110,222,2442,118,2232
Blantyre,2018,2,2797,200,29,176,2540,103,2142
Blantyre,2018,3,2954,218,13,215,2662,105,2210
Blantyre,2018,4,3035,207,47,198,2727,112,2151
Blantyre,2019,1,2909,188,51,184,2622,84,2130
Blantyre,2019,2,2766,209,15,209,2367,75,2038
Blantyre,2019,3,3032,160,88,162,2774,93,2436
Blantyre,2019,4,3053,196,166,193,2635,105,2399
Blantyre,2020,1,3258,197,93,183,2895,88,2521
Blantyre,2020,2,3374,198,27,195,3134,78,2632
Blantyre,2020,3,3381,232,99,228,3109,68,2441
Blantyre,2020,4,3091,252,11,252,2813,83,2293
Blantyre,2021,1,3429,303,36,289,3069,85,2605
Blantyre,2021,2,3372,204,2,190,2840,64,2333
Blantyre,2021,3,3388,228,154,220,3003,73,2475
Blantyre,2021,4,3075,216,90,216,2757,54,2389
Blantyre,2022,1,4013,244,14,244,3181,77,2532
Blantyre City,2011,3,7424,187,579,0,4575,567,5562
Blantyre City,2011,4,6808,221,279,0,5053,717,5571
Blantyre City,2012,1,7065,196,554,0,4811,653,5831
Blantyre City,2012,2,6754,219,220,76,4154,579,6244
Blantyre City,2012,3,7890,243,295,220,5277,670,6842
Blantyre City,2012,4,7453,263,259,201,5528,639,6802
Blantyre City,2013,1,7371,287,304,255,5512,590,6107
Blantyre City,2013,2,7042,324,216,254,4930,691,6214
Blantyre City,2013,3,7441,245,287,221,5452,681,6132
Blantyre City,2013,4,6395,317,158,281,4844,513,5542
Blantyre City,2014,1,6786,287,152,261,4960,437,5936
Blantyre City,2014,2,6247,276,222,265,4452,449,5765
Blantyre City,2014,3,6644,316,146,288,5539,547,5972
Blantyre City,2014,4,6319,322,194,297,5205,536,6206
Blantyre City,2015,1,6827,327,121,302,5663,492,5414
Blantyre City,2015,2,6707,306,133,273,5757,489,5915
Blantyre City,2015,3,6772,319,113,307,5260,441,5184
Blantyre City,2015,4,6495,340,176,301,5216,448,5761
Blantyre City,2016,1,6949,446,252,418,6031,517,5718
Blantyre City,2016,2,7021,432,215,402,6069,486,6062
Blantyre City,2016,3,7174,429,191,392,6368,479,5987
Blantyre City,2016,4,7023,480,278,461,6209,485,5921
Blantyre City,2017,1,7201,457,186,430,6419,448,6032
Blantyre City,2017,2,6626,436,305,452,5739,422,6328
Blantyre City,2017,3,7760,448,375,423,6790,528,6411
Blantyre City,2017,4,6885,459,600,517,5668,412,6126
Blantyre City,2018,1,8200,739,1180,811,6028,404,6290
Blantyre City,2018,2,7111,579,687,562,5724,333,6944
Blantyre City,2018,3,7604,609,556,556,6387,405,6742
Blantyre City,2018,4,7585,582,351,584,5773,330,6280
Blantyre City,2019,1,6837,560,616,572,5623,256,6110
Blantyre City,2019,2,7846,619,340,613,6556,372,6565
Blantyre City,2019,3,6924,541,305,534,5722,301,6984
Blantyre City,2019,4,7384,613,447,629,6079,268,6515
Blantyre City,2020,1,6164,512,236,510,5386,230,6352
Blantyre City,2020,2,6861,524,342,531,5909,234,6628
Blantyre City,2020,3,8005,629,192,641,6921,192,6786
Blantyre City,2020,4,5417,492,283,491,4579,190,6769
Blantyre City,2021,1,7413,658,150,657,6559,192,6445
Blantyre City,2021,2,7447,614,144,619,6477,183,6484
Blantyre City,2021,3,7530,639,134,630,6702,201,6561
Blantyre City,2021,4,7559,608,243,607,6652,187,6390
Blantyre City,2022,1,7718,633,123,633,6828,259,6612
Chikwawa,2011,3,5360,93,23,0,3915,365,3256
Chikwawa,2011,4,4621,95,37,0,3336,286,3137
Chikwawa,2012,1,4953,190,36,0,3685,267,3348
Chikwawa,2012,2,4314,101,72,129,2428,173,3632
Chikwawa,2012,3,5589,140,196,73,3791,223,3668
Chikwawa,2012,4,4769,146,410,120,2865,199,3732
Chikwawa,2013,1,5436,192,64,148,3669,239,3792
Chikwawa,2013,2,5403,193,34,143,3545,267,3961
Chikwawa,2013,3,4977,189,103,170,3173,214,3842
Chikwawa,2013,4,5131,206,60,157,2700,203,3622
Chikwawa,2014,1,4775,182,139,178,2962,208,3899
Chikwawa,2014,2,4837,208,185,182,3219,202,3756
Chikwawa,2014,3,5728,237,223,137,3488,177,4001
Chikwawa,2014,4,3337,137,69,122,2534,126,3034
Chikwawa,2015,1,4714,225,121,210,3601,193,3766
Chikwawa,2015,2,5151,242,135,237,4206,194,4264
Chikwawa,2015,3,5509,245,70,235,4517,224,4084
Chikwawa,2015,4,4790,227,151,214,3859,193,3263
Chikwawa,2016,1,5069,252,78,248,4488,200,3661
Chikwawa,2016,2,4681,225,134,214,3932,180,3737
Chikwawa,2016,3,4407,227,74,217,3798,151,3388
Chikwawa,2016,4,4069,203,104,193,3712,160,3266
Chikwawa,2017,1,5423,276,112,268,4899,188,4139
Chikwawa,2017,2,4452,239,75,234,4014,169,4271
Chikwawa,2017,3,5250,282,20,279,4837,184,4132
Chikwawa,2017,4,4529,279,6,275,4191,164,3727
Chikwawa,2018,1,5526,335,131,340,5042,173,4855
Chikwawa,2018,2,5571,377,22,378,5140,176,5043
Chikwawa,2018,3,5616,337,7,335,5217,157,4587
Chikwawa,2018,4,4660,300,4,299,4336,99,4007
Chikwawa,2019,1,4975,330,53,305,4648,103,4959
Chikwawa,2019,2,4896,324,4,335,4542,135,4779
Chikwawa,2019,3,4939,327,90,321,4480,97,4335
Chikwawa,2019,4,3917,292,8,290,3664,71,3597
Chikwawa,2020,1,4874,329,6,328,4521,70,4973
Chikwawa,2020,2,5166,361,4,360,4721,82,5149
Chikwawa,2020,3,5192,329,83,326,4792,61,3939
Chikwawa,2020,4,3804,295,9,285,3479,67,3970
Chikwawa,2021,1,4640,319,4,316,4307,56,4649
Chikwawa,2021,2,5453,398,0,398,5044,74,4579
Chikwawa,2021,3,5330,317,1,316,4358,64,3888
Chikwawa,2021,4,4499,277,4,278,4160,69,3868
Chikwawa,2022,1,5347,319,1,318,4750,66,4976
Chiradzulu,2011,3,2610,241,180,0,2091,169,1526
Chiradzulu,2011,4,3683,317,368,0,2955,248,3148
Chiradzulu,2012,1,3402,307,205,0,2819,189,2508
Chiradzulu,2012,2,3105,287,241,239,2527,193,2993
Chiradzulu,2012,3,3363,294,224,240,2613,178,3161
Chiradzulu,2012,4,3582,382,97,377,2598,186,3091
Chiradzulu,2013,1,3094,260,89,209,2527,150,2652
Chiradzulu,2013,2,3105,254,180,205,2027,145,2764
Chiradzulu,2013,3,2971,236,400,206,2024,135,2725
Chiradzulu,2013,4,3165,257,259,228,2281,143,2921
Chiradzulu,2014,1,3211,324,384,288,2119,132,2592
Chiradzulu,2014,2,2888,238,229,212,2191,129,2610
Chiradzulu,2014,3,2856,218,189,207,2190,102,2809
Chiradzulu,2014,4,2886,271,201,226,2237,141,2919
Chiradzulu,2015,1,3230,296,234,298,2533,156,2818
Chiradzulu,2015,2,2780,252,185,232,2198,127,2784
Chiradzulu,2015,3,2969,262,141,251,2466,176,3051
Chiradzulu,2015,4,2885,336,65,334,2391,137,2795
Chiradzulu,2016,1,2880,294,99,272,2428,153,2716
Chiradzulu,2016,2,2781,232,93,215,2411,135,2435
Chiradzulu,2016,3,2391,175,72,169,2109,97,2238
Chiradzulu,2016,4,2759,278,59,288,2389,119,2567
Chiradzulu,2017,1,2845,280,84,273,2459,118,3022
Chiradzulu,2017,2,2834,281,55,276,2492,100,2952
Chiradzulu,2017,3,3274,281,127,281,2861,132,2857
Chiradzulu,2017,4,2873,285,7,285,2529,124,2751
Chiradzulu,2018,1,3282,358,4,357,2889,122,2952
Chiradzulu,2018,2,2957,274,78,267,2526,90,3054
Chiradzulu,2018,3,3258,272,27,265,2949,114,2843
Chiradzulu,2018,4,3192,265,32,261,2889,156,3152
Chiradzulu,2019,1,3135,306,47,288,2761,99,3064
Chiradzulu,2019,2,3077,250,1,244,2754,109,3171
Chiradzulu,2019,3,2953,239,16,240,2666,104,3288
Chiradzulu,2019,4,3423,319,46,307,2987,104,3552
Chiradzulu,2020,1,3595,358,84,358,3139,114,3465
Chiradzulu,2020,2,3245,263,8,262,2969,103,3431
Chiradzulu,2020,3,3572,329,70,323,3166,96,3267
Chiradzulu,2020,4,3113,292,51,292,2816,75,3144
Chiradzulu,2021,1,3312,343,1,343,2965,65,3265
Chiradzulu,2021,2,2924,240,2,240,2674,55,2973
Chiradzulu,2021,3,2943,247,101,247,2584,52,3128
Chiradzulu,2021,4,3379,277,3,277,3072,79,3234
Chiradzulu,2022,1,3325,238,0,237,3036,60,3369
Chitipa,2011,3,2131,7,86,0,1168,25,1727
Chitipa,2011,4,2199,17,131,0,937,25,1552
Chitipa,2012,1,2241,8,66,0,716,12,1395
Chitipa,2012,2,1943,12,38,9,557,11,1325
Chitipa,2012,3,2196,6,59,2,982,7,1623
Chitipa,2012,4,2191,8,127,6,870,11,1716
Chitipa,2013,1,2512,11,76,8,1211,19,1516
Chitipa,2013,2,1826,20,21,19,1074,58,1629
Chitipa,2013,3,2161,19,20,11,1547,28,1807
Chitipa,2013,4,1801,7,14,7,1356,27,1717
Chitipa,2014,1,2106,15,8,12,1566,25,1423
Chitipa,2014,2,1974,16,69,14,1437,26,1707
Chitipa,2014,3,2220,14,42,16,1783,18,1754
Chitipa,2014,4,1397,14,0,14,1246,19,1303
Chitipa,2015,1,1979,18,9,17,1701,21,1489
Chitipa,2015,2,1653,30,11,27,1339,20,1425
Chitipa,2015,3,1896,189,6,18,1327,22,1571
Chitipa,2015,4,1989,26,101,17,1688,22,1647
Chitipa,2016,1,1911,30,62,26,1701,28,1420
Chitipa,2016,2,1778,22,43,18,1610,33,1484
Chitipa,2016,3,1758,22,30,22,1641,20,1637
Chitipa,2016,4,2013,35,7,35,1830,29,1622
Chitipa,2017,1,1918,26,7,25,1796,26,1414
Chitipa,2017,2,1823,39,19,38,1579,30,1550
Chitipa,2017,3,1901,24,3,22,1760,22,1692
Chitipa,2017,4,2008,89,9,89,1745,22,1670
Chitipa,2018,1,1960,30,46,30,1818,15,1482
Chitipa,2018,2,1735,24,14,24,1593,20,1717
Chitipa,2018,3,2238,38,161,36,1957,12,1957
Chitipa,2018,4,2151,30,6,27,2025,24,2000
Chitipa,2019,1,2117,37,22,37,1867,18,1652
Chitipa,2019,2,1889,30,0,30,1678,16,1871
Chitipa,2019,3,2393,33,3,34,2108,13,2059
Chitipa,2019,4,2353,38,8,38,2264,18,1976
Chitipa,2020,1,2174,37,1,37,2037,16,1735
Chitipa,2020,2,1929,28,4,27,1816,12,1862
Chitipa,2020,3,2344,22,0,22,2254,18,2038
Chitipa,2020,4,2178,45,13,44,2062,24,1984
Chitipa,2021,1,1981,43,0,42,1891,21,1817
Chitipa,2021,2,1961,23,1,23,1749,17,2045
Chitipa,2021,3,2301,38,0,38,2101,6,2173
Chitipa,2021,4,2103,38,0,38,1918,5,1986
Chitipa,2022,1,2084,32,3,32,1958,12,1881
Dedza,2011,3,8076,49,131,0,5032,167,5823
Dedza,2011,4,7966,57,197,0,5574,159,5669
Dedza,2012,1,7913,68,92,0,3671,123,4781
Dedza,2012,2,6840,174,312,92,3166,228,5090
Dedza,2012,3,8050,69,570,58,4400,127,6090
Dedza,2012,4,8021,66,102,51,3313,85,6208
Dedza,2013,1,8103,83,91,81,5412,181,5176
Dedza,2013,2,7108,80,254,75,5004,143,5681
Dedza,2013,3,7961,86,352,73,7054,178,6345
Dedza,2013,4,8059,134,215,125,7029,157,6284
Dedza,2014,1,7602,117,141,109,7295,153,5375
Dedza,2014,2,6731,94,230,86,5789,154,5039
Dedza,2014,3,7633,116,422,110,6706,141,5824
Dedza,2014,4,6389,84,257,82,5725,127,6280
Dedza,2015,1,8592,180,943,237,7007,241,5510
Dedza,2015,2,7245,122,342,112,6319,142,5594
Dedza,2015,3,7787,131,437,111,6892,135,6236
Dedza,2015,4,7383,136,416,122,6604,145,6227
Dedza,2016,1,9532,142,676,137,8639,182,5335
Dedza,2016,2,6706,130,106,126,6289,121,5526
Dedza,2016,3,8027,112,152,104,7018,147,6364
Dedza,2016,4,7757,105,376,96,6795,155,6324
Dedza,2017,1,7944,165,724,236,6944,187,5870
Dedza,2017,2,6655,135,189,130,6214,110,5982
Dedza,2017,3,9078,207,623,214,8149,167,6728
Dedza,2017,4,7453,177,217,177,6943,131,6901
Dedza,2018,1,7739,208,67,209,7347,112,6450
Dedza,2018,2,7060,177,41,179,6790,107,6235
Dedza,2018,3,8333,171,109,166,8009,103,6262
Dedza,2018,4,7534,207,283,212,6268,82,6031
Dedza,2019,1,5897,119,18,113,5838,66,5869
Dedza,2019,2,6567,130,20,129,6264,81,6379
Dedza,2019,3,7991,177,14,176,7810,101,6782
Dedza,2019,4,7887,145,16,144,7015,80,6965
Dedza,2020,1,7915,179,0,180,7675,94,6167
Dedza,2020,2,6886,158,4,157,6683,84,6047
Dedza,2020,3,7899,186,31,180,7610,77,5938
Dedza,2020,4,7384,159,12,157,6061,52,5757
Dedza,2021,1,6417,182,16,185,6285,59,5506
Dedza,2021,2,5606,187,14,152,5371,52,5402
Dedza,2021,3,7420,152,13,152,6738,61,5783
Dedza,2021,4,6443,139,4,135,6244,65,5955
Dedza,2022,1,7909,160,6,159,6534,68,5681
Dowa,2011,3,6050,60,25,0,3922,128,4846
Dowa,2011,4,6212,47,123,0,4696,81,5274
Dowa,2012,1,7289,64,105,0,4336,68,4545
Dowa,2012,2,5586,55,276,65,3420,62,3821
Dowa,2012,3,5622,50,508,8,3737,66,4756
Dowa,2012,4,5959,57,122,49,2963,52,5440
Dowa,2013,1,6099,79,117,77,3866,76,4754
Dowa,2013,2,5537,45,173,39,3502,59,4294
Dowa,2013,3,5989,51,86,48,4363,48,4765
Dowa,2013,4,5430,57,121,55,4388,67,5184
Dowa,2014,1,5920,66,164,59,4791,70,4723
Dowa,2014,2,5729,61,51,58,4324,56,4118
Dowa,2014,3,5991,56,46,55,4257,58,4432
Dowa,2014,4,5099,52,101,40,4278,63,4924
Dowa,2015,1,5714,115,191,47,4923,92,4508
Dowa,2015,2,5647,74,79,62,4923,74,4211
Dowa,2015,3,5190,59,130,54,4256,44,4153
Dowa,2015,4,4715,78,121,40,4108,45,4217
Dowa,2016,1,4942,61,153,61,4320,57,4055
Dowa,2016,2,4586,52,84,49,4019,44,3925
Dowa,2016,3,4968,61,60,61,4599,45,4537
Dowa,2016,4,5614,59,64,57,5081,80,4988
Dowa,2017,1,5795,67,133,67,5210,69,4825
Dowa,2017,2,5753,70,133,72,5089,50,4737
Dowa,2017,3,5821,56,183,56,4986,61,4428
Dowa,2017,4,4886,44,83,45,4407,47,4450
Dowa,2018,1,5742,182,40,179,5118,56,5085
Dowa,2018,2,5808,87,7,86,5253,45,4903
Dowa,2018,3,6058,83,3,82,5634,48,4703
Dowa,2018,4,5574,63,9,63,5078,52,4589
Dowa,2019,1,5224,85,56,84,4571,36,4397
Dowa,2019,2,5760,85,24,84,5208,38,5183
Dowa,2019,3,5711,92,34,92,5043,40,5170
Dowa,2019,4,5874,74,7,66,5693,22,5478
Dowa,2020,1,6004,86,118,87,5691,31,4890
Dowa,2020,2,5621,88,10,90,5391,85,4745
Dowa,2020,3,5625,70,115,69,5384,39,4830
Dowa,2020,4,4991,87,11,86,4769,44,4537
Dowa,2021,1,5186,68,17,68,4918,36,4307
Dowa,2021,2,5029,71,36,71,4826,34,4199
Dowa,2021,3,5128,89,16,88,4970,37,4586
Dowa,2021,4,4832,66,11,66,4665,25,4673
Dowa,2022,1,5384,80,0,79,4885,23,4860
Karonga,2011,3,3537,52,47,0,3021,160,1877
Karonga,2011,4,2901,55,412,0,2246,148,1767
Karonga,2012,1,2880,56,107,0,2507,138,1557
Karonga,2012,2,2826,40,35,33,2030,117,1885
Karonga,2012,3,3417,40,14,33,2702,119,2118
Karonga,2012,4,2798,43,34,29,2325,93,2052
Karonga,2013,1,2938,55,142,23,2511,103,1883
Karonga,2013,2,3025,49,217,40,2483,87,2205
Karonga,2013,3,3157,52,87,21,2808,119,2542
Karonga,2013,4,3072,69,332,64,2416,86,2294
Karonga,2014,1,3191,64,50,56,2529,85,2187
Karonga,2014,2,2900,83,101,68,2278,73,2481
Karonga,2014,3,2568,44,347,36,1978,68,2484
Karonga,2014,4,2780,94,193,88,2423,95,2586
Karonga,2015,1,3052,118,77,110,2783,98,2424
Karonga,2015,2,2875,73,37,65,2657,97,2484
Karonga,2015,3,3296,132,22,115,3004,75,2169
Karonga,2015,4,2622,77,40,66,2458,68,2187
Karonga,2016,1,2691,94,68,87,2495,81,2288
Karonga,2016,2,2860,95,121,91,2614,82,2588
Karonga,2016,3,3162,96,32,86,2960,86,2102
Karonga,2016,4,2853,99,75,98,2612,87,2217
Karonga,2017,1,2972,107,56,107,2766,78,2460
Karonga,2017,2,3263,120,71,115,2963,85,2750
Karonga,2017,3,3053,95,82,92,2826,72,2376
Karonga,2017,4,2226,72,65,70,2028,55,2303
Karonga,2018,1,2787,106,62,103,2555,69,2373
Karonga,2018,2,2867,86,53,85,2646,64,2577
Karonga,2018,3,3323,143,63,126,3068,69,2402
Karonga,2018,4,3006,94,57,94,2791,63,2477
Karonga,2019,1,2826,110,19,111,2654,60,2440
Karonga,2019,2,2985,107,5,105,2830,53,2393
Karonga,2019,3,3236,110,44,106,3035,62,2499
Karonga,2019,4,4603,105,8,107,2788,64,2698
Karonga,2020,1,3173,182,13,124,3010,53,2808
Karonga,2020,2,3135,145,12,145,2956,35,2968
Karonga,2020,3,3431,130,20,130,3256,56,2555
Karonga,2020,4,2978,121,57,121,2769,45,2501
Karonga,2021,1,3164,113,0,112,3019,55,2743
Karonga,2021,2,4450,125,9,125,3155,65,2865
Karonga,2021,3,3877,110,2,110,3243,42,2424
Karonga,2021,4,3550,108,0,108,3452,47,2498
Karonga,2022,1,3285,112,6,113,3086,45,2663
Kasungu,2011,3,6574,52,109,0,4096,165,4312
Kasungu,2011,4,8151,66,137,0,5414,152,4594
Kasungu,2012,1,8669,82,100,0,5612,157,3491
Kasungu,2012,2,6569,54,67,42,3494,148,3292
Kasungu,2012,3,6220,40,214,17,3821,105,4693
Kasungu,2012,4,6947,79,99,30,3588,93,4603
Kasungu,2013,1,8313,62,259,35,4539,72,3931
Kasungu,2013,2,6233,32,210,36,3538,80,3968
Kasungu,2013,3,5829,72,165,79,3977,92,4795
Kasungu,2013,4,6150,63,136,43,4258,118,5020
Kasungu,2014,1,6802,77,156,58,5119,123,4464
Kasungu,2014,2,6489,65,140,50,4358,98,4592
Kasungu,2014,3,6176,67,116,60,5002,96,5393
Kasungu,2014,4,6382,76,92,74,4883,95,5797
Kasungu,2015,1,6934,94,264,85,5344,80,4903
Kasungu,2015,2,7261,132,754,73,4829,81,4639
Kasungu,2015,3,6953,111,508,76,5373,138,5847
Kasungu,2015,4,7139,99,415,77,5769,105,5550
Kasungu,2016,1,6813,103,350,68,5926,101,5003
Kasungu,2016,2,6083,130,299,80,5160,97,4732
Kasungu,2016,3,6877,136,211,118,6072,114,5590
Kasungu,2016,4,6796,128,183,127,6109,132,5472
Kasungu,2017,1,6299,121,89,123,5604,111,5335
Kasungu,2017,2,6176,91,69,90,5514,97,5696
Kasungu,2017,3,6476,108,194,110,5783,90,6223
Kasungu,2017,4,6078,115,128,104,5382,82,5911
Kasungu,2018,1,6777,134,128,134,6135,82,6242
Kasungu,2018,2,6611,117,113,112,5945,74,6240
Kasungu,2018,3,7128,146,92,145,6636,87,6367
Kasungu,2018,4,6409,120,161,112,5779,129,6370
Kasungu,2019,1,6319,152,33,150,6025,66,6093
Kasungu,2019,2,6516,150,203,145,5665,51,6346
Kasungu,2019,3,7233,134,26,134,6690,74,7150
Kasungu,2019,4,6936,160,59,160,6396,73,7069
Kasungu,2020,1,8194,177,34,177,7132,78,6824
Kasungu,2020,2,6520,135,17,133,6032,57,6841
Kasungu,2020,3,7670,140,38,140,7148,76,7230
Kasungu,2020,4,7063,123,17,121,6640,55,6449
Kasungu,2021,1,6921,142,2,143,6499,64,5913
Kasungu,2021,2,6363,141,9,140,5879,55,5595
Kasungu,2021,3,6562,131,63,129,5777,45,6548
Kasungu,2021,4,6683,119,194,115,5878,53,6232
Kasungu,2022,1,6504,85,26,84,5553,46,6367
Likoma,2011,3,141,5,5,0,122,6,89
Likoma,2011,4,130,4,1,0,92,3,101
Likoma,2012,1,142,4,6,0,112,5,80
Likoma,2012,2,146,5,4,8,106,5,95
Likoma,2013,1,141,2,5,6,122,4,95
Likoma,2013,3,161,3,11,6,134,5,129
Likoma,2013,4,125,1,15,0,78,1,103
Likoma,2014,1,132,4,16,1,110,3,102
Likoma,2014,2,162,3,21,5,125,6,113
Likoma,2014,3,137,5,20,3,110,2,117
Likoma,2014,4,115,4,8,3,93,3,117
Likoma,2015,1,119,6,6,7,103,8,87
Likoma,2015,2,176,6,47,6,119,4,114
Likoma,2015,3,141,3,35,3,92,8,131
Likoma,2015,4,152,2,2,2,145,5,116
Likoma,2016,1,138,5,9,5,123,3,128
Likoma,2016,2,190,8,6,8,165,7,111
Likoma,2016,3,138,8,12,8,113,4,119
Likoma,2016,4,131,4,1,4,126,2,84
Likoma,2017,1,142,6,1,5,102,0,107
Likoma,2017,2,196,6,0,6,179,8,133
Likoma,2017,3,179,10,2,11,157,1,118
Likoma,2017,4,139,3,0,3,131,2,102
Likoma,2018,1,119,5,19,5,91,0,124
Likoma,2018,2,217,9,27,9,172,5,149
Likoma,2018,3,184,5,5,4,148,3,121
Likoma,2018,4,137,6,6,6,108,5,90
Likoma,2019,1,160,9,0,9,149,2,123
Likoma,2019,2,216,6,1,6,206,6,95
Likoma,2019,3,187,6,0,6,170,2,152
Likoma,2019,4,215,10,67,10,133,4,111
Likoma,2020,1,190,13,0,13,176,0,119
Likoma,2020,2,191,10,19,10,161,1,100
Likoma,2020,3,220,8,0,8,194,2,119
Likoma,2020,4,159,7,0,7,152,5,99
Likoma,2021,1,172,8,0,8,164,4,143
Likoma,2021,2,241,8,79,8,153,2,128
Likoma,2021,3,153,6,0,6,147,4,151
Likoma,2021,4,186,10,0,10,155,0,114
Likoma,2022,1,156,6,0,5,150,2,123
Lilongwe,2011,3,12289,106,446,0,10368,295,7399
Lilongwe,2011,4,14248,149,177,0,12606,280,9034
Lilongwe,2012,1,14678,220,728,0,12440,302,7988
Lilongwe,2012,2,12590,158,499,68,9406,261,7356
Lilongwe,2012,3,13140,205,578,153,10762,282,9189
Lilongwe,2012,4,13377,166,338,146,9731,239,9454
Lilongwe,2013,1,14347,208,743,128,10609,254,7779
Lilongwe,2013,2,12154,154,528,129,9387,296,7262
Lilongwe,2013,3,12316,161,169,147,10978,287,8717
Lilongwe,2013,4,12768,160,409,171,11376,207,8560
Lilongwe,2014,1,12952,177,231,145,11668,214,8670
Lilongwe,2014,2,14178,204,1710,107,10716,226,8674
Lilongwe,2014,3,13263,154,439,129,12139,259,9527
Lilongwe,2014,4,12946,324,394,155,11616,257,9789
Lilongwe,2015,1,13543,193,553,179,12344,234,9123
Lilongwe,2015,2,13863,240,574,158,12738,247,8654
Lilongwe,2015,3,11367,170,756,146,10187,188,8743
Lilongwe,2015,4,11822,192,565,180,10890,199,8342
Lilongwe,2016,1,12813,222,580,192,11492,201,8365
Lilongwe,2016,2,12199,206,786,190,10472,207,7944
Lilongwe,2016,3,12839,220,483,218,11446,229,9431
Lilongwe,2016,4,13512,231,408,238,12234,273,10176
Lilongwe,2017,1,13955,246,272,232,12852,201,9894
Lilongwe,2017,2,13322,244,585,233,11758,194,10076
Lilongwe,2017,3,14238,226,299,221,13102,222,10746
Lilongwe,2017,4,13418,289,167,286,12259,175,11230
Lilongwe,2018,1,14500,244,534,231,13393,175,11034
Lilongwe,2018,2,13793,271,433,272,12817,180,10529
Lilongwe,2018,3,14741,363,744,295,13443,195,10650
Lilongwe,2018,4,13201,264,569,262,12343,176,10706
