district32,year,quarter,anc_clients,anc_known_pos,anc_known_neg,anc_already_art,anc_tested,anc_tested_pos,births_facility
Balaka,2011,3,4538,98,125,0,3357,266,3102
Balaka,2011,4,3905,84,150,0,2759,256,2789
Balaka,2012,1,4304,112,136,0,2663,223,2687
Balaka,2012,2,3846,77,151,36,2225,265,2517
Balaka,2012,3,4269,101,217,93,3260,285,3473
Balaka,2012,4,4404,84,38,71,2835,203,3182
Balaka,2013,1,3952,114,80,113,3200,225,2724
Balaka,2013,2,3879,121,134,87,2710,198,2889
Balaka,2013,3,3979,95,161,86,3258,273,3366
Balaka,2013,4,3945,122,112,97,3089,230,3238
Balaka,2014,1,4206,152,215,124,3409,211,3227
Balaka,2014,2,3939,139,107,133,2896,167,2993
Balaka,2014,3,4022,153,93,140,3172,170,3642
Balaka,2014,4,3833,153,36,138,3237,199,3558
Balaka,2015,1,4675,202,615,199,3656,232,3287
Balaka,2015,2,3949,175,82,174,3548,194,3331
Balaka,2015,3,4146,153,211,154,3691,202,3784
Balaka,2015,4,4086,168,32,165,3809,192,3452
Balaka,2016,1,7192,218,90,212,3823,207,3467
Balaka,2016,2,3836,150,38,149,3572,174,3485
Balaka,2016,3,3908,163,72,156,3611,191,3404
Balaka,2016,4,3813,228,48,225,3515,186,3438
Balaka,2017,1,3952,195,28,195,3684,161,3533
Balaka,2017,2,3915,224,31,223,3686,150,3729
Balaka,2017,3,4238,251,18,241,3942,131,3860
Balaka,2017,4,3858,222,52,223,3566,130,3731
Balaka,2018,1,4304,286,16,286,3962,139,4021
Balaka,2018,2,4308,261,62,255,3960,133,3932
Balaka,2018,3,4563,261,169,261,4080,112,4021
Balaka,2018,4,3995,282,21,279,3660,93,3672
Balaka,2019,1,3821,245,24,245,3527,75,3444
Balaka,2019,2,4084,234,53,231,3762,87,3622
Balaka,2019,3,4347,249,98,252,3935,81,3749
Balaka,2019,4,3830,269,24,269,3576,82,3378
Balaka,2020,1,4118,284,27,284,3875,69,3626
Balaka,2020,2,3224,245,76,245,3288,71,3374
Balaka,2020,3,4682,236,22,226,4044,93,2892
Balaka,2020,4,3843,271,26,271,3528,64,3204
Balaka,2021,1,3749,240,16,240,3401,65,3254
Balaka,2021,2,3760,232,53,234,3422,67,3311
Balaka,2021,3,4217,187,47,187,3835,74,3484
Balaka,2021,4,3936,217,8,216,3684,85,3395
Balaka,2022,1,3877,209,1,197,3776,94,3444
Blantyre,2011,3,2665,57,53,0,1707,164,2118
Blantyre,2011,4,2868,82,117,0,2038,179,2110
