district32,year,quarter,art_tot,art_new
Ntchisi,2018,2,4524,159
Ntchisi,2018,3,4538,152
Ntchisi,2018,4,4609,139
Ntchisi,2019,1,4763,
Ntchisi,2019,2,4803,
Ntchisi,2019,3,4864,
Ntchisi,2019,4,4864,
Ntchisi,2020,1,4894,
Ntchisi,2020,2,4952,
Ntchisi,2020,3,4939,
Ntchisi,2020,4,4960,
Ntchisi,2021,1,4896,
Ntchisi,2021,2,4942,
Ntchisi,2021,3,4989,
Ntchisi,2021,4,5066,
Ntchisi,2022,1,5022,
Ntchisi,2022,2,5087,
Ntchisi,2022,3,5082,
Ntchisi,2022,4,5059,
Ntchisi,2023,1,5128,
Ntchisi,2023,2,5135,
Ntchisi,2023,3,5106,
Ntchisi,2023,4,5118,
Phalombe,2011,1,5526,778
Phalombe,2011,2,5998,695
Phalombe,2011,3,6315,1176
Phalombe,2011,4,8514,1486
Phalombe,2012,1,9950,1828
Phalombe,2012,2,11370,1675
Phalombe,2012,3,12730,1676
Phalombe,2012,4,13718,1341
Phalombe,2013,1,14896,1357
Phalombe,2013,2,16193,1399
Phalombe,2013,3,17357,1226
Phalombe,2013,4,18025,1083
Phalombe,2014,1,18812,915
Phalombe,2014,2,20195,1283
Phalombe,2014,3,20186,1276
Phalombe,2014,4,20574,977
Phalombe,2015,1,21402,951
Phalombe,2015,2,22395,1112
Phalombe,2015,3,23226,1090
Phalombe,2015,4,23545,863
Phalombe,2016,1,23422,986
Phalombe,2016,2,24590,1071
Phalombe,2016,3,26014,1699
Phalombe,2016,4,26319,1110
Phalombe,2017,1,27202,1449
Phalombe,2017,2,29311,1389
Phalombe,2017,3,29877,1131
Phalombe,2017,4,29548,970
Phalombe,2018,1,31263,1216
Phalombe,2018,2,31895,989
Phalombe,2018,3,32476,936
Phalombe,2018,4,32938,939
Phalombe,2019,1,33708,
Phalombe,2019,2,34205,
Phalombe,2019,3,33630,
Phalombe,2019,4,35531,
Phalombe,2020,1,35452,
Phalombe,2020,2,35720,
Phalombe,2020,3,35799,
Phalombe,2020,4,35626,
Phalombe,2021,1,35241,
Phalombe,2021,2,35182,
Phalombe,2021,3,34832,
Phalombe,2021,4,34993,
Phalombe,2022,1,35001,
Phalombe,2022,2,35371,
Phalombe,2022,3,35541,
Phalombe,2022,4,35420,
Phalombe,2023,1,34889,
Phalombe,2023,2,31100,
Phalombe,2023,3,32385,
Phalombe,2023,4,33920,
Rumphi,2011,1,3914,240
Rumphi,2011,2,4043,218
Rumphi,2011,3,4151,273
Rumphi,2011,4,4555,290
Rumphi,2012,1,4496,313
Rumphi,2012,2,4332,222
Rumphi,2012,3,4582,243
Rumphi,2012,4,4795,245
Rumphi,2013,1,4966,270
Rumphi,2013,2,4914,211
Rumphi,2013,3,5048,231
Rumphi,2013,4,5370,249
Rumphi,2014,1,5441,256
Rumphi,2014,2,5508,293
Rumphi,2014,3,5684,266
Rumphi,2014,4,5989,333
Rumphi,2015,1,6009,272
Rumphi,2015,2,6078,224
Rumphi,2015,3,6177,250
Rumphi,2015,4,6711,292
Rumphi,2016,1,6693,272
Rumphi,2016,2,6658,264
Rumphi,2016,3,6951,441
Rumphi,2016,4,7095,344
Rumphi,2017,1,7349,329
Rumphi,2017,2,7284,307
Rumphi,2017,3,7144,268
Rumphi,2017,4,7426,331
Rumphi,2018,1,7765,289
Rumphi,2018,2,7693,267
Rumphi,2018,3,7894,302
Rumphi,2018,4,8316,298
Rumphi,2019,1,8373,
Rumphi,2019,2,8252,
Rumphi,2019,3,8276,
Rumphi,2019,4,8505,
Rumphi,2020,1,8544,
Rumphi,2020,2,8422,
Rumphi,2020,3,8469,
Rumphi,2020,4,8830,
Rumphi,2021,1,8786,
Rumphi,2021,2,8659,
Rumphi,2021,3,8725,
Rumphi,2021,4,8962,
Rumphi,2022,1,9126,
Rumphi,2022,2,8884,
Rumphi,2022,3,8789,
Rumphi,2022,4,9023,
Rumphi,2023,1,9116,
Rumphi,2023,2,8997,
Rumphi,2023,3,9014,
Rumphi,2023,4,9503,
Salima,2011,1,5189,436
Salima,2011,2,5486,382
Salima,2011,3,5915,566
Salima,2011,4,6495,849
Salima,2012,1,7092,709
Salima,2012,2,7501,516
Salima,2012,3,7796,548
Salima,2012,4,7966,493
Salima,2013,1,8241,509
Salima,2013,2,8600,500
Salima,2013,3,8869,460
Salima,2013,4,9030,389
Salima,2014,1,9289,480
Salima,2014,2,9577,650
Salima,2014,3,10264,621
Salima,2014,4,10628,521
Salima,2015,1,10958,474
Salima,2015,2,11233,508
Salima,2015,3,11708,557
Salima,2015,4,11902,481
Salima,2016,1,12228,602
Salima,2016,2,12663,608
Salima,2016,3,13375,904
Salima,2016,4,13718,636
Salima,2017,1,14348,723
Salima,2017,2,14512,728
Salima,2017,3,14892,615
Salima,2017,4,15341,658
Salima,2018,1,15727,817
Salima,2018,2,15913,638
Salima,2018,3,16052,557
Salima,2018,4,16275,587
Salima,2019,1,16530,
Salima,2019,2,16884,
Salima,2019,3,17002,
Salima,2019,4,17053,
Salima,2020,1,17145,
Salima,2020,2,17318,
Salima,2020,3,17404,
Salima,2020,4,17622,
Salima,2021,1,17702,
Salima,2021,2,17890,
Salima,2021,3,17966,
Salima,2021,4,18118,
Salima,2022,1,18134,
Salima,2022,2,18330,
Salima,2022,3,18514,
Salima,2022,4,18381,
Salima,2023,1,18522,
Salima,2023,2,18617,
Salima,2023,3,18606,
Salima,2023,4,18768,
Thyolo,2011,1,19611,1241
Thyolo,2011,2,20215,1312
Thyolo,2011,3,21678,1409
Thyolo,2011,4,24515,3215
Thyolo,2012,1,27170,2106
Thyolo,2012,2,28978,2225
Thyolo,2012,3,31161,2158
Thyolo,2012,4,31592,1726
Thyolo,2013,1,32764,1875
Thyolo,2013,2,34208,1894
Thyolo,2013,3,35691,1628
Thyolo,2013,4,36814,1303
Thyolo,2014,1,37977,1485
Thyolo,2014,2,38545,1774
Thyolo,2014,3,39571,1550
Thyolo,2014,4,40049,1308
Thyolo,2015,1,40724,1391
Thyolo,2015,2,41483,1386
Thyolo,2015,3,42003,1398
Thyolo,2015,4,43240,1243
Thyolo,2016,1,43668,1468
Thyolo,2016,2,44867,1436
Thyolo,2016,3,46663,2537
Thyolo,2016,4,48159,1700
Thyolo,2017,1,47948,2052
Thyolo,2017,2,49698,1935
Thyolo,2017,3,50176,1494
Thyolo,2017,4,51000,1308
Thyolo,2018,1,51822,1794
Thyolo,2018,2,52373,1500
Thyolo,2018,3,53330,1630
Thyolo,2018,4,53887,1404
Thyolo,2019,1,54729,
Thyolo,2019,2,54701,
Thyolo,2019,3,55994,
Thyolo,2019,4,57398,
Thyolo,2020,1,57928,
Thyolo,2020,2,56449,
Thyolo,2020,3,56946,
Thyolo,2020,4,56749,
Thyolo,2021,1,57575,
Thyolo,2021,2,57977,
Thyolo,2021,3,58391,
Thyolo,2021,4,59007,
Thyolo,2022,1,59451,
Thyolo,2022,2,59828,
Thyolo,2022,3,60446,
Thyolo,2022,4,59792,
Thyolo,2023,1,60012,
Thyolo,2023,2,60455,
Thyolo,2023,3,60281,
Thyolo,2023,4,60517,
Zomba,2011,1,4101,376
Zomba,2011,2,4261,301
Zomba,2011,3,9037,749
Zomba,2011,4,12566,1305
Zomba,2012,1,13942,1373
Zomba,2012,2,15020,1148
Zomba,2012,3,16145,1124
Zomba,2012,4,17047,999
Zomba,2013,1,18011,1188
Zomba,2013,2,19091,1209
Zomba,2013,3,20173,1123
Zomba,2013,4,20639,962
Zomba,2014,1,21511,1080
Zomba,2014,2,22891,1372
Zomba,2014,3,24034,1359
Zomba,2014,4,25042,1159
Zomba,2015,1,25973,1073
Zomba,2015,2,26796,1145
Zomba,2015,3,27144,1197
Zomba,2015,4,27979,1092
Zomba,2016,1,28670,1188
Zomba,2016,2,30094,1290
Zomba,2016,3,31570,2020
Zomba,2016,4,32590,1293
Zomba,2017,1,33838,1609
Zomba,2017,2,34750,1486
Zomba,2017,3,35642,1854
Zomba,2017,4,36653,1780
Zomba,2018,1,37939,2153
Zomba,2018,2,38058,1460
Zomba,2018,3,38947,1520
Zomba,2018,4,39000,1363
Zomba,2019,1,39494,
Zomba,2019,2,39805,
Zomba,2019,3,40577,
Zomba,2019,4,41664,
Zomba,2020,1,40541,
Zomba,2020,2,41846,
Zomba,2020,3,43042,
Zomba,2020,4,42316,
Zomba,2021,1,44020,
Zomba,2021,2,45266,
Zomba,2021,3,45966,
Zomba,2021,4,46742,
Zomba,2022,1,47248,
Zomba,2022,2,47506,
Zomba,2022,3,47918,
Zomba,2022,4,48495,
Zomba,2023,1,49005,
Zomba,2023,2,49059,
Zomba,2023,3,49575,
Zomba,2023,4,49814,
Zomba City,2011,1,12132,1112
Zomba City,2011,2,13007,917
Zomba City,2011,3,13033,1081
Zomba City,2011,4,10094,1048
Zomba City,2012,1,9813,966
Zomba City,2012,2,9809,750
Zomba City,2012,3,9828,684
Zomba City,2012,4,9881,579
Zomba City,2013,1,10139,668
Zomba City,2013,2,10252,649
Zomba City,2013,3,10458,582
Zomba City,2013,4,10488,489
Zomba City,2014,1,10690,536
Zomba City,2014,2,10984,659
Zomba City,2014,3,11543,653
Zomba City,2014,4,11677,541
Zomba City,2015,1,11824,489
Zomba City,2015,2,12013,513
Zomba City,2015,3,12196,538
Zomba City,2015,4,12188,476
Zomba City,2016,1,12327,511
Zomba City,2016,2,12422,533
Zomba City,2016,3,12942,828
Zomba City,2016,4,13069,518
Zomba City,2017,1,13088,623
Zomba City,2017,2,13252,566
Zomba City,2017,3,13446,700
Zomba City,2017,4,13865,674
Zomba City,2018,1,13997,794
Zomba City,2018,2,14092,541
Zomba City,2018,3,14109,550
Zomba City,2018,4,14033,491
Zomba City,2019,1,14367,
Zomba City,2019,2,14497,
Zomba City,2019,3,14757,
Zomba City,2019,4,15078,
Zomba City,2020,1,13996,
Zomba City,2020,2,15343,
Zomba City,2020,3,15524,
Zomba City,2020,4,15752,
Zomba City,2021,1,15746,
Zomba City,2021,2,16210,
Zomba City,2021,3,16207,
Zomba City,2021,4,16352,
Zomba City,2022,1,16563,
Zomba City,2022,2,16473,
Zomba City,2022,3,16595,
Zomba City,2022,4,16768,
Zomba City,2023,1,16860,
Zomba City,2023,2,17390,
Zomba City,2023,3,17419,
Zomba City,2023,4,17605,
