id,label,description,accuracy,format
vl_tested_12mos_adult_m,t_(VL_TESTED_12MOS_ADULT_M),t_(VL_TESTED_12MOS_ADULT_M_DESC),,"""0,0"""
vl_tested_12mos_adult,t_(VL_TESTED_12MOS_ADULT),t_(VL_TESTED_12MOS_ADULT_DESC),,"""0,0"""
vl_tested_12mos_child,t_(VL_TESTED_12MOS_CHILD),t_(VL_TESTED_12MOS_CHILD_DESC),,"""0,0"""
vl_suppressed_12mos_total,t_(VL_SUPPRESSED_12MOS_TOTAL),t_(VL_SUPPRESSED_12MOS_TOTAL_DESC),,"""0,0"""
vl_suppressed_12mos_adult_f,t_(VL_SUPPRESSED_12MOS_ADULT_F),t_(VL_SUPPRESSED_12MOS_ADULT_F_DESC),,"""0,0"""
vl_suppressed_12mos_adult_m,t_(VL_SUPPRESSED_12MOS_ADULT_M),t_(VL_SUPPRESSED_12MOS_ADULT_M_DESC),,"""0,0"""
vl_suppressed_12mos_adult,t_(VL_SUPPRESSED_12MOS_ADULT),t_(VL_SUPPRESSED_12MOS_ADULT_DESC),,"""0,0"""
vl_suppressed_12mos_child,t_(VL_SUPPRESSED_12MOS_CHILD),t_(VL_SUPPRESSED_12MOS_CHILD_DESC),,"""0,0"""
vl_prop_suppressed_total,t_(VL_PROP_SUPPRESSED_TOTAL),t_(VL_PROP_SUPPRESSED_TOTAL_DESC),,"""0%"""
vl_prop_suppressed_adult_f,t_(VL_PROP_SUPPRESSED_ADULT_F),t_(VL_PROP_SUPPRESSED_ADULT_F_DESC),,"""0%"""
vl_prop_suppressed_adult_m,t_(VL_PROP_SUPPRESSED_ADULT_M),t_(VL_PROP_SUPPRESSED_ADULT_M_DESC),,"""0%"""
vl_prop_suppressed_adult,t_(VL_PROP_SUPPRESSED_ADULT),t_(VL_PROP_SUPPRESSED_ADULT_DESC),,"""0%"""
vl_prop_suppressed_child,t_(VL_PROP_SUPPRESSED_CHILD),t_(VL_PROP_SUPPRESSED_CHILD_DESC),,"""0%"""
vl_coverage_total,t_(VL_COVERAGE_TOTAL),t_(VL_COVERAGE_TOTAL_DESC),,"""0%"""
vl_coverage_adult_f,t_(VL_COVERAGE_ADULT_F),t_(VL_COVERAGE_ADULT_F_DESC),,"""0%"""
vl_coverage_adult_m,t_(VL_COVERAGE_ADULT_M),t_(VL_COVERAGE_ADULT_M_DESC),,"""0%"""
vl_coverage_adult,t_(VL_COVERAGE_ADULT),t_(VL_COVERAGE_ADULT_DESC),,"""0%"""
vl_coverage_child,t_(VL_COVERAGE_CHILD),t_(VL_COVERAGE_CHILD_DESC),,"""0%"""
