id,label,description,accuracy,format
art_current,t_(ART_CURRENT),t_(ART_CURRENT_DESC),,"""0,0"""
art_adult_f,t_(ART_ADULT_F),t_(ART_ADULT_F_DESC),,"""0,0"""
art_adult_m,t_(ART_ADULT_M),t_(ART_ADULT_M_DESC),,"""0,0"""
art_adult,t_(ART_ADULT),t_(ART_ADULT_DESC),,"""0,0"""
art_child,t_(ART_CHILD),t_(ART_CHILD_DESC),,"""0,0"""
art_current_adjusted,t_(ART_CURRENT_ADJUSTED),t_(ART_CURRENT_ADJUSTED_DESC),,"""0,0"""
art_adjusted_adult_f,t_(ART_ADJUSTED_ADULT_F),t_(ART_ADJUSTED_ADULT_F_DESC),,"""0,0"""
art_adjusted_adult_m,t_(ART_ADJUSTED_ADULT_M),t_(ART_ADJUSTED_ADULT_M_DESC),,"""0,0"""
art_adjusted_adult,t_(ART_ADJUSTED_ADULT),t_(ART_ADJUSTED_ADULT_DESC),,"""0,0"""
art_adjusted_child,t_(ART_ADJUSTED_CHILD),t_(ART_ADJUSTED_CHILD_DESC),,"""0,0"""
art_adult_sex_ratio,t_(ART_ADULT_SEX_RATIO),t_(ART_ADULT_SEX_RATIO_DESC),,"""0%"""
art_child_adult_ratio,t_(ART_CHILD_ADULT_RATIO),t_(ART_CHILD_ADULT_RATIO_DESC),,"""0%"""
anc_prevalence,t_(ANC_PREVALENCE),t_(ANC_PREVALENCE_DESC),,"""0.0%"""
anc_art_coverage,t_(ANC_ART_COVERAGE),t_(ANC_ART_COVERAGE_DESC),,"""0%"""
anc_clients,t_(ANC_CLIENTS),t_(ANC_CLIENTS_DESC),,"""0,0"""
anc_tested,t_(ANC_TESTED),t_(ANC_TESTED_DESC),,"""0,0"""
anc_tested_pos,t_(ANC_TESTED_POS),t_(ANC_TESTED_POS_DESC),,"""0,0"""
anc_known_pos,t_(ANC_KNOWN_POS),t_(ANC_KNOWN_POS_DESC),,"""0,0"""
anc_known_neg,t_(ANC_KNOWN_NEG),t_(ANC_KNOWN_NEG_DESC),,"""0,0"""
anc_already_art,t_(ANC_ALREADY_ART),t_(ANC_ALREADY_ART_DESC),,"""0,0"""
anc_total_pos,t_(ANC_TOTAL_POS),t_(ANC_TOTAL_POS_DESC),,"""0,0"""
anc_status,t_(ANC_STATUS),t_(ANC_STATUS_DESC),,"""0,0"""
anc_art_among_known,t_(ANC_ART_AMONG_KNOWN),t_(ANC_ART_AMONG_KNOWN_DESC),,"""0,0"""
births_clients_ratio,t_(BIRTHS_CLIENTS_RATIO),t_(BIRTHS_CLIENTS_RATIO_DESC),,"""0%"""
births_facility,t_(BIRTHS_FACILITY),t_(BIRTHS_FACILITY_DESC),,"""0,0"""
art_new_total,t_(ART_NEW_TOTAL),t_(ART_NEW_TOTAL_DESC),,"""0,0"""
art_new_adult_f,t_(ART_NEW_ADULT_F),t_(ART_NEW_ADULT_F_DESC),,"""0,0"""
art_new_adult_m,t_(ART_NEW_ADULT_M),t_(ART_NEW_ADULT_M_DESC),,"""0,0"""
art_new_adult,t_(ART_NEW_ADULT),t_(ART_NEW_ADULT_DESC),,"""0,0"""
art_new_child,t_(ART_NEW_CHILD),t_(ART_NEW_CHILD_DESC),,"""0,0"""
vl_tested_12mos_total,t_(VL_TESTED_12MOS_TOTAL),t_(VL_TESTED_12MOS_TOTAL_DESC),,"""0,0"""
vl_tested_12mos_adult_f,t_(VL_TESTED_12MOS_ADULT_F),t_(VL_TESTED_12MOS_ADULT_F_DESC),,"""0,0"""
