age_group,datapack_age_group_id,datapack_age_group_label
Y000_000,sMBMO5xAq5T,<01
Y001_004,VHpjs9qdLFF,01-04
Y005_009,eQG9DwiqSQR,05-09
Y010_014,jcGQdcpPSJP,10-14
Y015_019,ttf9eZCHsTU,15-19
Y020_024,GaScV37Kk29,20-24
Y025_029,meeNUPwEOtj,25-29
Y030_034,AZaNm5B8vn9,30-34
Y035_039,R32YPF38CJJ,35-39
Y040_044,JEth8vg25Rv,40-44
Y045_049,rQLOOlL3UOQ,45-49
Y050_999,TpXlQcoXGZF,50+
