area_id,area_name,sex,age_group,year,calendar_quarter,art_current,art_current_adjusted,art_adjustment_factor,art_new,vl_tested_12mos,vl_suppressed_12mos
MWI_2_1_demo,Northern,both,Y000_014,2011,CY2011Q4,2031,2031,1,170,NA,NA
MWI_2_1_demo,Northern,both,Y000_014,2012,CY2012Q4,2476,2476,1,145,NA,NA
MWI_2_1_demo,Northern,both,Y000_014,2013,CY2013Q4,2867,2867,1,140,NA,NA
MWI_2_1_demo,Northern,both,Y000_014,2014,CY2014Q4,3268,3268,1,159,NA,NA
MWI_2_1_demo,Northern,both,Y000_014,2015,CY2015Q4,3596,3596,1,151,NA,NA
MWI_2_1_demo,Northern,both,Y000_014,2016,CY2016Q4,4065,4065,1,192,524,324
MWI_2_1_demo,Northern,both,Y000_014,2017,CY2017Q4,4328,4328,1,172,693,444
MWI_2_1_demo,Northern,both,Y000_014,2018,CY2018Q4,4737,4737,1,171,3564,2104
MWI_2_1_demo,Northern,both,Y000_014,2019,CY2019Q4,4915,4915,1,NA,2893,2031
MWI_2_1_demo,Northern,both,Y000_014,2020,CY2020Q4,5096,5096,1,NA,NA,NA
MWI_2_1_demo,Northern,both,Y000_014,2021,CY2021Q4,5254,5254,1,NA,NA,NA
MWI_2_1_demo,Northern,both,Y000_014,2022,CY2022Q4,5479,5479,1,NA,NA,NA
MWI_2_1_demo,Northern,both,Y000_014,2023,CY2023Q4,5659,5659,1,NA,NA,NA
MWI_2_1_demo,Northern,both,Y015_999,2011,CY2011Q4,31828,31828,1,2655,NA,NA
MWI_2_1_demo,Northern,both,Y015_999,2012,CY2012Q4,38788,38788,1,2264,NA,NA
MWI_2_1_demo,Northern,both,Y015_999,2013,CY2013Q4,44927,44927,1,2204,NA,NA
MWI_2_1_demo,Northern,both,Y015_999,2014,CY2014Q4,51206,51206,1,2476,NA,NA
MWI_2_1_demo,Northern,both,Y015_999,2015,CY2015Q4,56348,56348,1,2357,NA,NA
MWI_2_1_demo,Northern,both,Y015_999,2016,CY2016Q4,63671,63671,1,2997,6790,6396
MWI_2_1_demo,Northern,both,Y015_999,2017,CY2017Q4,67794,67794,1,2687,9675,8996
MWI_2_1_demo,Northern,both,Y015_999,2018,CY2018Q4,74237,74237,1,2673,53161,47583
MWI_2_1_demo,Northern,both,Y015_999,2019,CY2019Q4,77774,76996,0.99,NA,49376,46299
MWI_2_1_demo,Northern,both,Y015_999,2020,CY2020Q4,81453,79824,0.98,NA,NA,NA
MWI_2_1_demo,Northern,both,Y015_999,2021,CY2021Q4,84848,82303,0.97,NA,NA,NA
MWI_2_1_demo,Northern,both,Y015_999,2022,CY2022Q4,89436,85859,0.96,NA,NA,NA
MWI_2_1_demo,Northern,both,Y015_999,2023,CY2023Q4,93319,88653,0.95,NA,NA,NA
MWI_2_2_demo,Central-East,both,Y000_014,2011,CY2011Q4,1660,1660,1,162,NA,NA
MWI_2_2_demo,Central-East,both,Y000_014,2012,CY2012Q4,1971,1971,1,109,NA,NA
MWI_2_2_demo,Central-East,both,Y000_014,2013,CY2013Q4,2264,2264,1,100,NA,NA
MWI_2_2_demo,Central-East,both,Y000_014,2014,CY2014Q4,2596,2596,1,119,NA,NA
MWI_2_2_demo,Central-East,both,Y000_014,2015,CY2015Q4,2860,2860,1,109,NA,NA
MWI_2_2_demo,Central-East,both,Y000_014,2016,CY2016Q4,3205,3205,1,127,390,223
MWI_2_2_demo,Central-East,both,Y000_014,2017,CY2017Q4,3526,3526,1,139,609,325
MWI_2_2_demo,Central-East,both,Y000_014,2018,CY2018Q4,3779,3779,1,124,3297,1910
MWI_2_2_demo,Central-East,both,Y000_014,2019,CY2019Q4,3954,3954,1,NA,2985,2106
MWI_2_2_demo,Central-East,both,Y000_014,2020,CY2020Q4,4101,4101,1,NA,NA,NA
MWI_2_2_demo,Central-East,both,Y000_014,2021,CY2021Q4,4192,4192,1,NA,NA,NA
MWI_2_2_demo,Central-East,both,Y000_014,2022,CY2022Q4,4288,4288,1,NA,NA,NA
MWI_2_2_demo,Central-East,both,Y000_014,2023,CY2023Q4,4373,4373,1,NA,NA,NA
MWI_2_2_demo,Central-East,both,Y015_999,2011,CY2011Q4,25992,25992,1,2529,NA,NA
MWI_2_2_demo,Central-East,both,Y015_999,2012,CY2012Q4,30905,30905,1,1707,NA,NA
MWI_2_2_demo,Central-East,both,Y015_999,2013,CY2013Q4,35471,35471,1,1576,NA,NA
MWI_2_2_demo,Central-East,both,Y015_999,2014,CY2014Q4,40660,40660,1,1876,NA,NA
MWI_2_2_demo,Central-East,both,Y015_999,2015,CY2015Q4,44816,44816,1,1703,NA,NA
MWI_2_2_demo,Central-East,both,Y015_999,2016,CY2016Q4,50224,50224,1,2005,5107,4661
MWI_2_2_demo,Central-East,both,Y015_999,2017,CY2017Q4,55240,55240,1,2170,6590,5946
MWI_2_2_demo,Central-East,both,Y015_999,2018,CY2018Q4,59204,59204,1,1955,46901,42852
MWI_2_2_demo,Central-East,both,Y015_999,2019,CY2019Q4,62576,61950,0.99,NA,45308,43040
MWI_2_2_demo,Central-East,both,Y015_999,2020,CY2020Q4,65561,64250,0.98,NA,NA,NA
