iso3,area_id,map_level,map_name,map_id,map_source
BDI,BDI_2_9,5,DS Bururi,D133L5rAICA,Datim
BDI,BDI_2_25,5,DS Busoni,WtVU5QT0qz3,Datim
BDI,BDI_2_45,5,DS Butezi,M2iBIAQRVgL,Datim
BDI,BDI_2_38,5,DS Buye,lc94DaVHOUF,Datim
BDI,BDI_2_11,5,DS Cankuzo,reEMzTuXViP,Datim
BDI,BDI_2_14,5,DS Cibitoke,bYZn5upeWvZ,Datim
BDI,BDI_2_36,5,DS Fota,KuYbYubUe0R,Datim
BDI,BDI_2_22,5,DS Gahombo,TN4Xs50havw,Datim
BDI,BDI_2_33,5,DS Gashoho,isY2p78740h,Datim
BDI,BDI_2_43,5,DS Gihofi,qCSbzCl6SgA,Datim
BDI,BDI_2_16,5,DS Gitega,txk0bkCd1Qu,Datim
BDI,BDI_2_34,5,DS Giteranyi,CzJH5yMFDDL,Datim
BDI,BDI_2_6,5,DS Isale,Fhs1VSJaHJN,Datim
BDI,BDI_2_31,5,DS Kiganda,fyo5RAWAbzS,Datim
BDI,BDI_2_7,5,DS Kabezi,OtzdybaCj9J,Datim
BDI,BDI_2_23,5,DS Kayanza,VHyESl4FqZe,Datim
BDI,BDI_2_37,5,DS Kibumbu,KVgdXwYzZ2K,Datim
BDI,BDI_2_17,5,DS Kibuye,QM6l6rHTT5H,Datim
BDI,BDI_2_46ib,5,DS Kinyinya,oSiDcsypyOI,Datim
BDI,BDI_2_39,5,DS Kiremba,SHKNwZi9tpB,Datim
BDI,BDI_2_26,5,DS Kirundo,kqI0lzVvTpa,Datim
BDI,BDI_2_15,5,DS Mabayi,j5hHyMdj3tP,Datim
BDI,BDI_2_29,5,DS Makamba,BDfJLRZI6JM,Datim
BDI,BDI_2_2,5,DS Mpanda,NvvIhQOAajp,Datim
BDI,BDI_2_27,5,DS Mukenke,GLOIxffOylG,Datim
BDI,BDI_2_32,5,DS Muramvya,EY5bbPLfUwO,Datim
BDI,BDI_2_12,5,DS Murore,UJJCc7l72Hc,Datim
BDI,BDI_2_24,5,DS Musema,vrQziAp3Be1,Datim
BDI,BDI_2_18,5,DS Mutaho,wzD3kEmtSnj,Datim
BDI,BDI_2_35,5,DS Muyinga,bRAFS0BaYNS,Datim
BDI,BDI_2_40,5,DS Ngozi,c3vjODtCgan,Datim
BDI,BDI_2_21,5,DS Nyabikere,nPFPOEgCTkp,Datim
BDI,BDI_2_30,5,DS Nyanza-Lac,jzftQkyzDBA,Datim
BDI,BDI_2_42,5,DS Rumonge,iglTTNBnbxk,Datim
BDI,BDI_2_44,5,DS Rutana,dHdpENqtN2V,Datim
BDI,BDI_2_47,5,DS Ruyigi,QwNaultrBl7,Datim
BDI,BDI_2_8,5,DS Rwibaga,ZEisaRR50rX,Datim
BDI,BDI_2_19,5,DS Ryansoro,B4nTrrOQwMw,Datim
BDI,BDI_2_28,5,DS Vumbi,flfhn0vMg6P,Datim
BDI,BDI_2_10lj,5,DS Matana,D1LszDbXnYz,Datim
BDI,BDI_2_48gx,5,DS Rutovu,DBwtW7GRgh5,Datim
BDI,BDI_2_49lk,5,DS Gisuru,eUk2eJm6Uav,Datim
BEN,BEN,0,Benin PSNU Placeholder,ohNhyTc0gIz,Datim
BEN,BEN_1_10oz,1,Atlantique,IvPI7oE84Vq,Datim
BEN,BEN_1_1gz,1,Couffo,oIsqSZbfuLh,Datim
BEN,BEN_1_3xj,1,Littoral,gCxGKwGykFI,Datim
BEN,BEN_1_11oz,1,Mono,Wx5z1fjgoHg,Datim
BFA,BFA,4,Burkina Faso,ZeB2eGmDfGw,Datim
BFA,BFA_1_1,5,Boucle du Mouhoun,I1JZSfp8vcM,Datim
BFA,BFA_1_2,5,Cascades,T5NUM0tY6zG,Datim
BFA,BFA_1_3,5,Centre,yFhT3dGnTQZ,Datim
BFA,BFA_1_4,5,Centre-Est,YDpjfH2L57t,Datim
BFA,BFA_1_5,5,Centre-Nord,sClifP5VW08,Datim
BFA,BFA_1_6,5,Centre Ouest,uT6GUemcyoT,Datim
BFA,BFA_1_7,5,Centre-Sud,oLNC2GQBMKK,Datim
BFA,BFA_1_8,5,Est,gg5cWa5uulZ,Datim
BFA,BFA_1_9,5,Hauts Bassins,B8JCwqZN7RN,Datim
BFA,BFA_1_10,5,Nord,KTFVfteCdTP,Datim
BFA,BFA_1_11,5,Plateau Central,kO2dPAxrSOz,Datim
BFA,BFA_1_12,5,Sahel,yZ1pPLPrxqK,Datim
BFA,BFA_1_13,5,Sud-Ouest,VI3A97QVBug,Datim
BWA,BWA,0,Botswana,l1KFEXKI4Dg,Datim
BWA,BWA_1_01va,Central,Central District,dBanTQZVvtG,Datim
BWA,BWA_1_09vh,South East,South East District,Dy1sl76KWJO,Datim
BWA,BWA_1_05bu,Kgatleng,Kgatleng District,HQWVsxPWw8B,Datim
BWA,BWA_1_02ek,Chobe,Chobe District,ML4czwDtK10,Datim
BWA,BWA_1_10je,Southern,Southern,PnQKlXXlzLS,Datim
BWA,BWA_1_03by,Ghanzi,Ghanzi District,pvsGhTskezZ,Datim
BWA,BWA_1_04im,Kgalagadi,Kgalagadi District,TNWnoYr2nga,Datim
BWA,BWA_1_06kw,Kweneng,Kweneng District,VUnIpCPLhPI,Datim
BWA,BWA_1_08my,North West,North West District,Vvry5LAFBk2,Datim
BWA,BWA_1_07rb,North East,North East District,wZl8hXAOSB0,Datim
BWA,BWA_3_01ci,2,Boteti District,p5JLtcOw9iv,Datim
BWA,BWA_3_02sw,2,Bobirwa District,gGqaAXuUGpb,Datim
BWA,BWA_3_03fy,2,Selibe Phikwe District,qUdeJw9Q0Vk,Datim
BWA,BWA_3_04br,2,Mahalapye District,iY69BUSqcnC,Datim
BWA,BWA_3_05qx,2,Palapye District,TcLMNlsgbcz,Datim
BWA,BWA_3_06kn,2,Serowe District,YmeyoDakwFX,Datim
BWA,BWA_3_07cw,2,Tutume District,gchw5PMi4N2,Datim
BWA,BWA_3_08sk,2,Chobe District,e9Ze74PEe99,Datim
BWA,BWA_3_09ro,2,Charleshill District,v3v0gu2Gtol,Datim
BWA,BWA_3_10ox,2,Gantsi District,saOJtBcENzM,Datim
BWA,BWA_3_11ah,2,Kgalagadi North District,oGXMBBGIRJl,Datim
BWA,BWA_3_12po,2,Kgalagadi South District,KrgFtpUJ20E,Datim
BWA,BWA_3_13bi,2,Kgatleng District,yNcvm7JYBfi,Datim
BWA,BWA_3_14bv,2,Kweneng East District,Uz8LWtC0vYF,Datim
BWA,BWA_3_15ll,2,Kweneng West District,w2kp2bfOmNv,Datim
BWA,BWA_3_16la,2,Francistown District,h1CepDrLWib,Datim
BWA,BWA_3_17kp,2,North East District,nszh0FzynAQ,Datim
BWA,BWA_3_18zk,2,Ngamiland District,TnDQJQtNVCK,Datim
BWA,BWA_3_19wt,2,Okavango District,ML9AwCIGjAx,Datim
BWA,BWA_3_20it,2,Gaborone District,VB7am4futjm,Datim
BWA,BWA_3_21zt,2,South East District,YksWHI1yLuv,Datim
BWA,BWA_3_22am,2,Lobatse District,m9qc7MnDafM,Datim
BWA,BWA_3_23qq,2,Goodhope District,y8A4MNQse4l,Datim
BWA,BWA_3_24hp,2,Jwaneng District,dEkUfWWZQ61,Datim
BWA,BWA_3_25be,2,Mabutsane District,GgzMAsHUgHC,Datim
BWA,BWA_3_26he,2,Moshupa District,xLLFT8x1CF5,Datim
BWA,BWA_3_27dj,2,Southern District,LEUjALXInGD,Datim
CIV,CIV,0,Cote d'Ivoire,ds0ADyc9UCU,Datim
CIV,CIV_1_01df,1,Abidjan 1,ouvLM5iBp2U,Datim
CIV,CIV_1_02rc,1,Abidjan 2,VmeP98Y7Ob0,Datim
CIV,CIV_1_03mp,1,Agneby-Tiassa,xWtNXMJvZls,Datim
CIV,CIV_1_04ad,1,Bafing,seRbZf8kSR9,Datim
CIV,CIV_1_05mk,1,Bagoue,CC1SGssRL7b,Datim
CIV,CIV_1_06vp,1,Belier,Xg6Lgk1bCt0,Datim
CIV,CIV_1_07ms,1,Bere,zEN1Qk6zHzg,Datim
CIV,CIV_1_08fi,1,Bounkani,hyRzs0vha4A,Datim
CIV,CIV_1_09mb,1,Cavally,dlKygFFZdv3,Datim
CIV,CIV_1_10eg,1,Folon,PgWQBDixpW6,Datim
CIV,CIV_1_11jl,1,Gbeke,Ry4fZiNgHqs,Datim
CIV,CIV_1_12us,1,Gbokle,qF6xjc6BeFi,Datim
CIV,CIV_1_13oh,1,Goh,CQNFlCBAutz,Datim
CIV,CIV_1_14jp,1,Gontougo,D4iBLytNjaV,Datim
CIV,CIV_1_15yu,1,Grand Ponts,EQv7b8QWyD6,Datim
CIV,CIV_1_16yk,1,Guemon,wNWzpA99YfH,Datim
CIV,CIV_1_17ut,1,Hambol,dndrrL0zj7f,Datim
CIV,CIV_1_18pr,1,Haut-Sassandra,XZaPAzso7Hf,Datim
CIV,CIV_1_19xj,1,Iffou,Ck8tTF5hVgt,Datim
CIV,CIV_1_20yp,1,Indenie-Djuablin,bfjeJlr9a0H,Datim
CIV,CIV_1_21xi,1,Kabadougou,gsQNaHt0oUW,Datim
CIV,CIV_1_22uh,1,Loh-Djiboua,ud2hyDehnZs,Datim
CIV,CIV_1_23wy,1,Marahoue,darR7PaS1At,Datim
CIV,CIV_1_24ey,1,Me,Add1ZScBYek,Datim
CIV,CIV_1_25uc,1,Moronou,JTkbBDZyhOA,Datim
CIV,CIV_1_26ev,1,N'zi,uhdeYtg5mzU,Datim
CIV,CIV_1_27cj,1,Nawa,Ld8rYL15Rxt,Datim
CIV,CIV_1_28cd,1,Poro,y7mG2j0VDi1,Datim
CIV,CIV_1_29es,1,San-Pedro,hfoIg3pAHCB,Datim
CIV,CIV_1_30ud,1,Sud-Comoe,yEDQW7ekVrO,Datim
CIV,CIV_1_31ez,1,Tchologo,uxxbWIq97Ob,Datim
CIV,CIV_1_32ux,1,Tonkpi,QAvyrYDx54a,Datim
