age_group,datapack_age_group_id,datapack_age_group_label
Y000_000,sMBMO5xAq5T,<01
Y001_009,Y001_009,01-09
Y010_014,jcGQdcpPSJP,10-14
Y015_024,Y015_024,15-24
Y025_034,Y025_034,25-34
Y035_049,Y035_049,35-49
Y050_999,Y050_999,50+
