iso3,psnu_area_level
BDI,2
BFA,0
CIV,2
CMR,3
HTI,2
KEN,2
LSO,1
MOZ,2
MWI,3
NAM,2
NGA,2
RWA,1
SWZ,1
TGO,1
TZA,3
UGA,3
ZAF,2
ZMB,2
ZWE,2
