district,group,est,se,n_unwgt,n_wgt,deft,cv,lower,upper
Zomba,women and men 15-49,0.132,0.014,621,833,1.039,0.107,0.104,0.161
Chiradzulu,women 15-49,0.129,0.027,234,151,1.214,0.207,0.075,0.182
Chiradzulu,men 15-49,0.047,0.015,178,122,0.923,0.314,0.017,0.076
Chiradzulu,men 15-54,0.058,0.016,181,125,0.893,0.268,0.027,0.089
Chiradzulu,women and men 15-49,0.092,0.017,412,274,1.201,0.186,0.058,0.126
Blantyre,women 15-49,0.212,0.025,340,664,1.142,0.12,0.161,0.262
Blantyre,men 15-49,0.129,0.023,250,511,1.084,0.179,0.083,0.175
Blantyre,men 15-54,0.135,0.022,263,535,1.037,0.162,0.091,0.179
Blantyre,women and men 15-49,0.176,0.022,590,1175,1.384,0.124,0.132,0.219
Mwanza,women 15-49,0.112,0.023,215,54,1.087,0.21,0.065,0.158
Mwanza,men 15-49,0.032,0.017,177,48,1.273,0.532,0,0.065
Mwanza,men 15-54,0.045,0.022,189,51,1.432,0.481,0.002,0.089
Mwanza,women and men 15-49,0.074,0.016,392,102,1.177,0.21,0.043,0.105
Thyolo,women 15-49,0.124,0.021,325,370,1.127,0.167,0.082,0.165
Thyolo,men 15-49,0.112,0.025,222,270,1.167,0.221,0.063,0.162
Thyolo,men 15-54,0.145,0.029,241,295,1.266,0.199,0.087,0.203
Thyolo,women and men 15-49,0.119,0.019,547,640,1.394,0.163,0.08,0.158
Mulanje,women 15-49,0.259,0.028,296,330,1.08,0.106,0.204,0.314
Mulanje,men 15-49,0.142,0.021,232,278,0.901,0.146,0.101,0.183
Mulanje,men 15-54,0.157,0.023,245,294,0.989,0.147,0.111,0.203
Mulanje,women and men 15-49,0.206,0.019,528,608,1.062,0.091,0.168,0.243
Phalombe,women 15-49,0.185,0.03,289,209,1.325,0.164,0.125,0.246
Phalombe,men 15-49,0.116,0.029,216,166,1.329,0.251,0.058,0.174
Phalombe,men 15-54,0.117,0.027,225,173,1.266,0.233,0.063,0.172
Phalombe,women and men 15-49,0.155,0.027,505,375,1.67,0.174,0.101,0.209
Chikwawa,women 15-49,0.084,0.019,265,218,1.093,0.222,0.047,0.121
Chikwawa,men 15-49,0.065,0.017,246,209,1.087,0.264,0.031,0.099
Chikwawa,men 15-54,0.067,0.017,256,216,1.062,0.248,0.034,0.1
Chikwawa,women and men 15-49,0.075,0.013,511,428,1.083,0.169,0.049,0.1
Nsanje,women 15-49,0.128,0.025,214,107,1.084,0.194,0.079,0.178
Nsanje,men 15-49,0.095,0.019,193,96,0.882,0.197,0.057,0.132
Nsanje,men 15-54,0.105,0.021,202,102,0.992,0.205,0.062,0.147
Nsanje,women and men 15-49,0.112,0.019,407,204,1.189,0.166,0.075,0.15
Balaka,women 15-49,0.12,0.021,315,201,1.152,0.176,0.078,0.162
Balaka,men 15-49,0.044,0.016,207,140,1.117,0.364,0.012,0.076
Balaka,men 15-54,0.047,0.015,219,148,1.079,0.33,0.016,0.078
Balaka,women and men 15-49,0.089,0.016,522,340,1.256,0.176,0.057,0.12
Neno,women 15-49,0.113,0.023,260,79,1.184,0.206,0.066,0.16
Neno,men 15-49,0.098,0.026,191,65,1.217,0.268,0.046,0.151
Neno,men 15-54,0.11,0.023,199,69,1.039,0.21,0.064,0.156
Neno,women and men 15-49,0.106,0.02,451,144,1.382,0.189,0.066,0.147
