district,group,est,se,n_unwgt,n_wgt,deft,cv,lower,upper
Chitipa,women 15-49,0.038,0.016,201,72,1.157,0.412,0.007,0.069
Chitipa,men 15-49,0.025,0.013,175,68,1.095,0.523,0,0.05
Chitipa,men 15-54,0.034,0.018,185,72,1.3,0.509,0,0.069
Chitipa,women and men 15-49,0.031,0.013,376,140,1.457,0.418,0.005,0.058
Karonga,women 15-49,0.105,0.018,243,145,0.938,0.176,0.068,0.142
Karonga,men 15-49,0.087,0.028,208,141,1.438,0.325,0.03,0.143
Karonga,men 15-54,0.105,0.029,220,148,1.382,0.274,0.047,0.162
Karonga,women and men 15-49,0.096,0.02,451,286,1.413,0.205,0.057,0.135
Nkhatabay,women 15-49,0.066,0.018,241,103,1.129,0.275,0.03,0.102
Nkhatabay,men 15-49,0.061,0.017,199,103,0.973,0.27,0.028,0.095
Nkhatabay,men 15-54,0.065,0.016,203,105,0.926,0.248,0.033,0.097
Nkhatabay,women and men 15-49,0.064,0.012,440,206,1.05,0.192,0.039,0.088
Rumphi,women 15-49,0.069,0.019,237,85,1.164,0.278,0.031,0.108
Rumphi,men 15-49,0.055,0.014,227,88,0.932,0.256,0.027,0.084
Rumphi,men 15-54,0.057,0.014,239,92,0.927,0.245,0.029,0.084
Rumphi,women and men 15-49,0.062,0.014,464,173,1.224,0.221,0.035,0.09
Mzimba,women 15-49,0.039,0.01,340,488,0.987,0.266,0.018,0.06
Mzimba,men 15-49,0.031,0.011,305,465,1.123,0.36,0.009,0.053
Mzimba,men 15-54,0.039,0.013,317,487,1.217,0.339,0.013,0.066
Mzimba,women and men 15-49,0.035,0.008,645,953,1.07,0.221,0.02,0.051
Likoma,women 15-49,0.098,0.015,226,6,0.771,0.156,0.067,0.128
Likoma,men 15-49,0.051,0.017,212,6,1.147,0.342,0.016,0.085
Likoma,men 15-54,0.053,0.017,218,6,1.117,0.321,0.019,0.087
Likoma,women and men 15-49,0.074,0.011,438,12,0.911,0.154,0.051,0.097
Kasungu,women 15-49,0.062,0.016,309,310,1.159,0.257,0.03,0.094
Kasungu,men 15-49,0.02,0.007,298,303,0.873,0.351,0.006,0.035
Kasungu,men 15-54,0.023,0.007,313,320,0.884,0.327,0.008,0.038
Kasungu,women and men 15-49,0.041,0.01,607,613,1.233,0.241,0.021,0.061
Nkhota kota,women 15-49,0.076,0.014,278,161,0.873,0.183,0.048,0.104
Nkhota kota,men 15-49,0.07,0.02,238,147,1.229,0.292,0.029,0.11
Nkhota kota,men 15-54,0.066,0.019,253,155,1.236,0.293,0.027,0.105
Nkhota kota,women and men 15-49,0.073,0.015,516,308,1.34,0.211,0.042,0.104
Ntchisi,women 15-49,0.057,0.012,246,130,0.814,0.211,0.033,0.081
Ntchisi,men 15-49,0.034,0.012,225,134,0.986,0.352,0.01,0.058
Ntchisi,men 15-54,0.032,0.011,237,141,0.979,0.349,0.01,0.055
Ntchisi,women and men 15-49,0.045,0.01,471,264,1.057,0.224,0.025,0.066
Dowa,women 15-49,0.044,0.011,329,346,1.019,0.264,0.021,0.066
Dowa,men 15-49,0.027,0.009,298,322,0.993,0.346,0.008,0.046
Dowa,men 15-54,0.028,0.009,312,336,1.014,0.34,0.009,0.047
Dowa,women and men 15-49,0.036,0.008,627,668,1.113,0.232,0.019,0.052
Salima,women 15-49,0.04,0.012,280,211,1.06,0.31,0.015,0.065
Salima,men 15-49,0.018,0.007,236,186,0.834,0.405,0.003,0.032
Salima,men 15-54,0.017,0.007,250,198,0.832,0.405,0.003,0.03
Salima,women and men 15-49,0.03,0.007,516,397,0.994,0.25,0.015,0.045
Lilongwe,women 15-49,0.079,0.016,371,1226,1.138,0.202,0.047,0.111
Lilongwe,men 15-49,0.065,0.016,336,1127,1.184,0.246,0.033,0.097
Lilongwe,men 15-54,0.069,0.015,349,1170,1.139,0.225,0.038,0.1
Lilongwe,women and men 15-49,0.072,0.013,707,2353,1.312,0.177,0.047,0.098
Mchinji,women 15-49,0.055,0.011,318,239,0.863,0.201,0.033,0.077
Mchinji,men 15-49,0.048,0.01,310,241,0.809,0.205,0.028,0.067
Mchinji,men 15-54,0.047,0.009,322,250,0.79,0.198,0.029,0.066
Mchinji,women and men 15-49,0.051,0.008,628,480,0.956,0.164,0.034,0.068
Dedza,women 15-49,0.044,0.019,305,335,1.597,0.429,0.006,0.081
Dedza,men 15-49,0.019,0.009,245,289,0.989,0.461,0.001,0.036
Dedza,men 15-54,0.022,0.009,256,303,0.996,0.412,0.004,0.041
Dedza,women and men 15-49,0.032,0.012,550,623,1.556,0.365,0.009,0.056
Ntcheu,women 15-49,0.111,0.026,291,286,1.398,0.232,0.06,0.163
Ntcheu,men 15-49,0.037,0.01,237,246,0.808,0.269,0.017,0.056
Ntcheu,men 15-54,0.041,0.011,246,255,0.89,0.275,0.018,0.063
Ntcheu,women and men 15-49,0.077,0.014,528,532,1.242,0.188,0.048,0.106
Mangochi,women 15-49,0.132,0.021,339,515,1.117,0.156,0.091,0.173
Mangochi,men 15-49,0.057,0.018,203,373,1.095,0.313,0.021,0.093
Mangochi,men 15-54,0.066,0.019,214,394,1.116,0.287,0.028,0.104
Mangochi,women and men 15-49,0.101,0.015,542,887,1.181,0.152,0.07,0.131
Machinga,women 15-49,0.083,0.016,287,259,1.008,0.199,0.05,0.115
Machinga,men 15-49,0.031,0.013,190,181,0.996,0.402,0.006,0.057
Machinga,men 15-54,0.043,0.013,202,192,0.929,0.309,0.017,0.07
Machinga,women and men 15-49,0.062,0.012,477,440,1.076,0.193,0.038,0.085
Zomba,women 15-49,0.168,0.021,331,438,1.001,0.123,0.126,0.209
Zomba,men 15-49,0.093,0.015,290,396,0.854,0.156,0.064,0.123
Zomba,men 15-54,0.099,0.015,299,410,0.846,0.148,0.07,0.128
