calendar_quarter,area_level,area_name,age_group,median,lower,upper
CY2014Q2,0,Malawi,35-39,0.11229661918836428,0.10634865927345273,0.11825251218082637
CY2014Q2,0,Malawi,40-44,0.058680431354450724,0.054479968082512695,0.06301730781810695
CY2014Q2,0,Malawi,45-49,0.023767895341131277,0.020855775805630035,0.02664074039960869
CY2015Q2,0,Malawi,15-19,0.1303637343917029,0.12439986478682341,0.13671743738283726
CY2015Q2,0,Malawi,20-24,0.21223955344526935,0.20359214393702826,0.22092410869468646
CY2015Q2,0,Malawi,25-29,0.1811888229023299,0.17293840665848015,0.18926894281765816
CY2015Q2,0,Malawi,30-34,0.14915658795732784,0.14196570359313201,0.15620635640505134
CY2015Q2,0,Malawi,35-39,0.10599653979506701,0.09996545380958471,0.11230695303166799
CY2015Q2,0,Malawi,40-44,0.055957496631247834,0.05164284138696936,0.0603209388209821
CY2015Q2,0,Malawi,45-49,0.02260882458891571,0.0197413585697882,0.02553955733427991
CY2016Q2,0,Malawi,15-19,0.1307661916620831,0.11990046439188821,0.1418160968445457
CY2016Q2,0,Malawi,20-24,0.21329888908121575,0.19778248294713968,0.22939315925829012
CY2016Q2,0,Malawi,25-29,0.18261419577398974,0.1686118301050518,0.19651547996008448
CY2016Q2,0,Malawi,30-34,0.14955867534908454,0.1379533770533536,0.16118627549195486
CY2016Q2,0,Malawi,35-39,0.10619985865895196,0.09717498141697203,0.11576695973551962
CY2016Q2,0,Malawi,40-44,0.056549480711149624,0.05060538028841316,0.06287908575151223
CY2016Q2,0,Malawi,45-49,0.022938383928049436,0.01960069033848968,0.026489690856827144
CY2017Q2,0,Malawi,15-19,0.13363347056469724,0.11305018627786936,0.15435129203086054
CY2017Q2,0,Malawi,20-24,0.2182375199071952,0.18755237287477608,0.25063378760307825
CY2017Q2,0,Malawi,25-29,0.1871212417359071,0.16128229716203135,0.21504906387307643
CY2017Q2,0,Malawi,30-34,0.1541751983901396,0.1324811095024776,0.17690459972549744
CY2017Q2,0,Malawi,35-39,0.1101055152209744,0.09456894854624597,0.12663483047693586
CY2017Q2,0,Malawi,40-44,0.059116439661255654,0.04988359838481395,0.06886863581500421
CY2017Q2,0,Malawi,45-49,0.02402486736057076,0.019473546030804846,0.028910749982793138
CY2018Q2,0,Malawi,15-19,0.13595745222754596,0.1110518162123166,0.1628062478934992
CY2018Q2,0,Malawi,20-24,0.2236578870744524,0.18487145951527215,0.2652838903525162
CY2018Q2,0,Malawi,25-29,0.19291636520339261,0.15979335170990977,0.22773471096099163
CY2018Q2,0,Malawi,30-34,0.15895625220705578,0.13143908014568068,0.1876934453574463
CY2018Q2,0,Malawi,35-39,0.11410397877169363,0.09415968256446372,0.13497909577921932
CY2018Q2,0,Malawi,40-44,0.06152826808178417,0.04985869876920731,0.07385867365546922
CY2018Q2,0,Malawi,45-49,0.025163354770075613,0.01961079347810687,0.030920725950857156
CY2019Q2,0,Malawi,15-19,0.13788785881683638,0.10920409225131253,0.1690161653885451
CY2019Q2,0,Malawi,20-24,0.2279809454262992,0.18303297697521337,0.27625853264530853
CY2019Q2,0,Malawi,25-29,0.19717850100186157,0.15951204196082014,0.23700939836679386
CY2019Q2,0,Malawi,30-34,0.16125391418556534,0.13100437636269302,0.19646355434608231
CY2019Q2,0,Malawi,35-39,0.11676353142121325,0.09445023465843722,0.14152056332813776
CY2019Q2,0,Malawi,40-44,0.06339400531179207,0.05072819925256419,0.0774426594545835
CY2019Q2,0,Malawi,45-49,0.025953066698377103,0.020036248148950057,0.032439660300408374
CY2020Q2,0,Malawi,15-19,0.13853380307945828,0.10721145564234388,0.1738123892093479
CY2020Q2,0,Malawi,20-24,0.22994251161641582,0.18086474898793667,0.28433786311996934
CY2020Q2,0,Malawi,25-29,0.1992505140833918,0.15786532239663034,0.24499615199623606
CY2020Q2,0,Malawi,30-34,0.16447464481045798,0.1295988163456996,0.20361696825895712
CY2020Q2,0,Malawi,35-39,0.11879196470044442,0.09379516634952069,0.14694202509357382
CY2020Q2,0,Malawi,40-44,0.06488712384573492,0.05070534975647908,0.080655625345753
CY2020Q2,0,Malawi,45-49,0.02673092540394112,0.020052904792699736,0.033867854703151325
CY2000Q2,1,Northern,15-19,0.17984625829124623,0.17059909199822826,0.1888777024613637
CY2000Q2,1,Northern,20-24,0.3072945110688792,0.29371186287213397,0.3206374851413783
CY2000Q2,1,Northern,25-29,0.2771802256503878,0.2641590363447239,0.28980655128929494
CY2000Q2,1,Northern,30-34,0.22088350889769218,0.20954900349125252,0.23241729379168727
CY2000Q2,1,Northern,35-39,0.1529183378922942,0.14355421105639302,0.1625478076093275
CY2000Q2,1,Northern,40-44,0.08130495011442734,0.074166044021101,0.08897884447408216
CY2000Q2,1,Northern,45-49,0.031966091545658035,0.027153570534872266,0.03706145820473373
CY2001Q2,1,Northern,15-19,0.16093155911194112,0.15267380186483498,0.16904098591189265
CY2001Q2,1,Northern,20-24,0.2705587718624359,0.2583772265947219,0.28333903071460315
CY2001Q2,1,Northern,25-29,0.24481384222927438,0.23311637400312007,0.2565808668820517
CY2001Q2,1,Northern,30-34,0.19873034762879632,0.18828169140328546,0.2096955049776629
CY2001Q2,1,Northern,35-39,0.1389284015311003,0.13038869178773846,0.1477663329316615
CY2001Q2,1,Northern,40-44,0.07352342508796376,0.06678587962444096,0.08062618111138137
CY2001Q2,1,Northern,45-49,0.02879417657284769,0.024358823561908913,0.033379538980223486
CY2002Q2,1,Northern,15-19,0.1458460017707723,0.13862258627805019,0.15295032394542246
CY2002Q2,1,Northern,20-24,0.24852468592826993,0.2376410102931095,0.25968462836619666
