iso3,area_id,area_name
MWI,MWI,Malawi
MWI,MWI.1,Northern
MWI,MWI.2,Central
MWI,MWI.3,Southern
MWI,MWI.2.2,Central-East
MWI,MWI.2.3,Central-West
MWI,MWI.3.4,South-East
MWI,MWI.3.5,South-West
MWI,MWI.1.1.1,Chitipa
MWI,MWI.1.1.2,Karonga
MWI,MWI.1.1.3,Rumphi
MWI,MWI.1.1.4,Mzimba
MWI,MWI.1.1.5,Nkhata Bay
MWI,MWI.1.1.6,Likoma
MWI,MWI.2.2.10,Dowa
MWI,MWI.2.2.11,Salima
MWI,MWI.2.2.7,Nkhotakota
MWI,MWI.2.2.8,Kasungu
MWI,MWI.2.2.9,Ntchisi
MWI,MWI.2.3.12,Mchinji
MWI,MWI.2.3.13,Lilongwe
MWI,MWI.2.3.14,Dedza
MWI,MWI.2.3.15,Ntcheu
MWI,MWI.3.4.16,Mangochi
MWI,MWI.3.4.17,Machinga
MWI,MWI.3.4.18,Balaka
MWI,MWI.3.4.19,Zomba
MWI,MWI.3.4.20,Phalombe
MWI,MWI.3.4.21,Mulanje
MWI,MWI.3.5.22,Neno
MWI,MWI.3.5.23,Blantyre
MWI,MWI.3.5.24,Mwanza
MWI,MWI.3.5.25,Chiradzulu
MWI,MWI.3.5.26,Thyolo
MWI,MWI.3.5.27,Chikwawa
MWI,MWI.3.5.28,Nsanje
MWI,MWI.1.1.4.4,Mzuzu City
MWI,MWI.2.3.13.14,Lilongwe City
MWI,MWI.3.4.19.21,Zomba City
MWI,MWI.3.5.23.29,Blantyre City
