area_id,sex,age_group,calendar_quarter,art_current,art_new
MWI_4_20,both,Y000_014,CY2011Q1,377,27
MWI_4_20,both,Y015_999,CY2011Q1,5903,422
MWI_4_20,both,Y000_014,CY2011Q2,396,23
MWI_4_20,both,Y015_999,CY2011Q2,6199,366
MWI_4_20,both,Y000_014,CY2011Q3,421,32
MWI_4_20,both,Y015_999,CY2011Q3,6594,501
MWI_4_20,both,Y000_014,CY2011Q4,464,60
MWI_4_20,both,Y015_999,CY2011Q4,7271,935
MWI_4_20,both,Y000_014,CY2012Q1,524,57
MWI_4_20,both,Y015_999,CY2012Q1,8206,897
MWI_4_20,both,Y000_014,CY2012Q2,571,38
MWI_4_20,both,Y015_999,CY2012Q2,8942,592
MWI_4_20,both,Y000_014,CY2012Q3,594,59
MWI_4_20,both,Y015_999,CY2012Q3,9299,919
MWI_4_20,both,Y000_014,CY2012Q4,603,42
MWI_4_20,both,Y015_999,CY2012Q4,9452,664
MWI_4_20,both,Y000_014,CY2013Q1,646,51
MWI_4_20,both,Y015_999,CY2013Q1,10121,805
MWI_4_20,both,Y000_014,CY2013Q2,680,40
MWI_4_20,both,Y015_999,CY2013Q2,10655,620
MWI_4_20,both,Y000_014,CY2013Q3,704,42
MWI_4_20,both,Y015_999,CY2013Q3,11030,662
MWI_4_20,both,Y000_014,CY2013Q4,726,32
MWI_4_20,both,Y015_999,CY2013Q4,11369,498
MWI_4_20,both,Y000_014,CY2014Q1,761,41
MWI_4_20,both,Y015_999,CY2014Q1,11915,642
MWI_4_20,both,Y000_014,CY2014Q2,775,42
MWI_4_20,both,Y015_999,CY2014Q2,12147,651
MWI_4_20,both,Y000_014,CY2014Q3,836,54
MWI_4_20,both,Y015_999,CY2014Q3,13104,851
MWI_4_20,both,Y000_014,CY2014Q4,862,45
MWI_4_20,both,Y015_999,CY2014Q4,13512,699
MWI_4_20,both,Y000_014,CY2015Q1,906,49
MWI_4_20,both,Y015_999,CY2015Q1,14196,774
MWI_4_20,both,Y000_014,CY2015Q2,930,43
MWI_4_20,both,Y015_999,CY2015Q2,14567,676
MWI_4_20,both,Y000_014,CY2015Q3,960,38
MWI_4_20,both,Y015_999,CY2015Q3,15034,602
MWI_4_20,both,Y000_014,CY2015Q4,973,34
MWI_4_20,both,Y015_999,CY2015Q4,15248,540
MWI_4_20,both,Y000_014,CY2016Q1,998,38
MWI_4_20,both,Y015_999,CY2016Q1,15633,593
MWI_4_20,both,Y000_014,CY2016Q2,1023,45
MWI_4_20,both,Y015_999,CY2016Q2,16033,708
MWI_4_20,both,Y000_014,CY2016Q3,1074,64
MWI_4_20,both,Y015_999,CY2016Q3,16828,1009
MWI_4_20,both,Y000_014,CY2016Q4,1100,42
MWI_4_20,both,Y015_999,CY2016Q4,17230,660
MWI_4_20,both,Y000_014,CY2017Q1,1107,53
MWI_4_20,both,Y015_999,CY2017Q1,17345,830
MWI_4_20,both,Y000_014,CY2017Q2,1126,53
MWI_4_20,both,Y015_999,CY2017Q2,17646,823
MWI_4_20,both,Y000_014,CY2017Q3,1158,45
MWI_4_20,both,Y015_999,CY2017Q3,18140,701
MWI_4_20,both,Y000_014,CY2017Q4,1199,48
MWI_4_20,both,Y015_999,CY2017Q4,18784,748
MWI_4_20,both,Y000_014,CY2018Q1,1218,56
MWI_4_20,both,Y015_999,CY2018Q1,19074,883
MWI_4_20,both,Y000_014,CY2018Q2,1238,49
MWI_4_20,both,Y015_999,CY2018Q2,19401,763
MWI_4_20,both,Y000_014,CY2018Q3,1259,44
MWI_4_20,both,Y015_999,CY2018Q3,19724,688
MWI_4_20,both,Y000_014,CY2018Q4,1259,34
MWI_4_20,both,Y015_999,CY2018Q4,19723,530
MWI_4_26,both,Y000_014,CY2011Q1,581,32
MWI_4_26,both,Y015_999,CY2011Q1,9105,506
MWI_4_26,both,Y000_014,CY2011Q2,610,39
MWI_4_26,both,Y015_999,CY2011Q2,9561,610
MWI_4_26,both,Y000_014,CY2011Q3,656,48
MWI_4_26,both,Y015_999,CY2011Q3,10283,758
MWI_4_26,both,Y000_014,CY2011Q4,690,64
MWI_4_26,both,Y015_999,CY2011Q4,10808,999
MWI_4_26,both,Y000_014,CY2012Q1,724,59
MWI_4_26,both,Y015_999,CY2012Q1,11343,928
MWI_4_26,both,Y000_014,CY2012Q2,771,56
MWI_4_26,both,Y015_999,CY2012Q2,12072,885
MWI_4_26,both,Y000_014,CY2012Q3,799,54
MWI_4_26,both,Y015_999,CY2012Q3,12519,848
MWI_4_26,both,Y000_014,CY2012Q4,820,48
MWI_4_26,both,Y015_999,CY2012Q4,12852,751
MWI_4_26,both,Y000_014,CY2013Q1,875,54
MWI_4_26,both,Y015_999,CY2013Q1,13715,843
MWI_4_26,both,Y000_014,CY2013Q2,899,58
MWI_4_26,both,Y015_999,CY2013Q2,14085,906
MWI_4_26,both,Y000_014,CY2013Q3,925,52
MWI_4_26,both,Y015_999,CY2013Q3,14499,816
MWI_4_26,both,Y000_014,CY2013Q4,959,50
MWI_4_26,both,Y015_999,CY2013Q4,15025,776
MWI_4_26,both,Y000_014,CY2014Q1,985,54
MWI_4_26,both,Y015_999,CY2014Q1,15430,848
MWI_4_26,both,Y000_014,CY2014Q2,1013,57
MWI_4_26,both,Y015_999,CY2014Q2,15875,897
MWI_4_26,both,Y000_014,CY2014Q3,1033,60
MWI_4_26,both,Y015_999,CY2014Q3,16189,936
MWI_4_26,both,Y000_014,CY2014Q4,1080,56
MWI_4_26,both,Y015_999,CY2014Q4,16916,884
MWI_4_26,both,Y000_014,CY2015Q1,1094,52
MWI_4_26,both,Y015_999,CY2015Q1,17142,808
MWI_4_26,both,Y000_014,CY2015Q2,1137,56
MWI_4_26,both,Y015_999,CY2015Q2,17811,885
MWI_4_26,both,Y000_014,CY2015Q3,1189,60
MWI_4_26,both,Y015_999,CY2015Q3,18622,942
MWI_4_26,both,Y000_014,CY2015Q4,1187,54
MWI_4_26,both,Y015_999,CY2015Q4,18603,846
MWI_4_26,both,Y000_014,CY2016Q1,1207,59
MWI_4_26,both,Y015_999,CY2016Q1,18914,928
MWI_4_26,both,Y000_014,CY2016Q2,1250,62
MWI_4_26,both,Y015_999,CY2016Q2,19577,977
MWI_4_26,both,Y000_014,CY2016Q3,1352,89
MWI_4_26,both,Y015_999,CY2016Q3,21187,1387
MWI_4_26,both,Y000_014,CY2016Q4,1365,67
MWI_4_26,both,Y015_999,CY2016Q4,21390,1054
MWI_4_26,both,Y000_014,CY2017Q1,1437,89
MWI_4_26,both,Y015_999,CY2017Q1,22517,1388
MWI_4_26,both,Y000_014,CY2017Q2,1485,76
MWI_4_26,both,Y015_999,CY2017Q2,23269,1196
MWI_4_26,both,Y000_014,CY2017Q3,1482,68
MWI_4_26,both,Y015_999,CY2017Q3,23214,1073
MWI_4_26,both,Y000_014,CY2017Q4,1482,64
MWI_4_26,both,Y015_999,CY2017Q4,23214,1004
MWI_4_26,both,Y000_014,CY2018Q1,1494,81
MWI_4_26,both,Y015_999,CY2018Q1,23414,1261
MWI_4_26,both,Y000_014,CY2018Q2,1558,87
MWI_4_26,both,Y015_999,CY2018Q2,24416,1362
MWI_4_26,both,Y000_014,CY2018Q3,1564,99
MWI_4_26,both,Y015_999,CY2018Q3,24502,1550
MWI_4_26,both,Y000_014,CY2018Q4,1602,80
MWI_4_26,both,Y015_999,CY2018Q4,25106,1257
MWI_4_29,both,Y000_014,CY2011Q1,1429,79
MWI_4_29,both,Y015_999,CY2011Q1,22382,1242
MWI_4_29,both,Y000_014,CY2011Q2,1444,92
MWI_4_29,both,Y015_999,CY2011Q2,22617,1443
MWI_4_29,both,Y000_014,CY2011Q3,1559,115
MWI_4_29,both,Y015_999,CY2011Q3,24421,1798
MWI_4_29,both,Y000_014,CY2011Q4,1638,151
MWI_4_29,both,Y015_999,CY2011Q4,25665,2372
MWI_4_29,both,Y000_014,CY2012Q1,1763,144
MWI_4_29,both,Y015_999,CY2012Q1,27621,2259
MWI_4_29,both,Y000_014,CY2012Q2,1847,135
MWI_4_29,both,Y015_999,CY2012Q2,28935,2119
MWI_4_29,both,Y000_014,CY2012Q3,1934,131
MWI_4_29,both,Y015_999,CY2012Q3,30292,2052
MWI_4_29,both,Y000_014,CY2012Q4,1996,117
MWI_4_29,both,Y015_999,CY2012Q4,31266,1828
MWI_4_29,both,Y000_014,CY2013Q1,2068,127
MWI_4_29,both,Y015_999,CY2013Q1,32406,1993
MWI_4_29,both,Y000_014,CY2013Q2,2101,135
MWI_4_29,both,Y015_999,CY2013Q2,32912,2117
MWI_4_29,both,Y000_014,CY2013Q3,2176,123
MWI_4_29,both,Y015_999,CY2013Q3,34095,1919
MWI_4_29,both,Y000_014,CY2013Q4,2263,117
MWI_4_29,both,Y015_999,CY2013Q4,35447,1830
MWI_4_29,both,Y000_014,CY2014Q1,2289,126
MWI_4_29,both,Y015_999,CY2014Q1,35865,1970
MWI_4_29,both,Y000_014,CY2014Q2,2358,133
MWI_4_29,both,Y015_999,CY2014Q2,36940,2087
MWI_4_29,both,Y000_014,CY2014Q3,2441,141
MWI_4_29,both,Y015_999,CY2014Q3,38241,2213
MWI_4_29,both,Y000_014,CY2014Q4,2541,133
MWI_4_29,both,Y015_999,CY2014Q4,39817,2079
MWI_4_29,both,Y000_014,CY2015Q1,2631,124
MWI_4_29,both,Y015_999,CY2015Q1,41215,1944
MWI_4_29,both,Y000_014,CY2015Q2,2683,133
MWI_4_29,both,Y015_999,CY2015Q2,42027,2088
MWI_4_29,both,Y000_014,CY2015Q3,2780,141
MWI_4_29,both,Y015_999,CY2015Q3,43547,2202
MWI_4_29,both,Y000_014,CY2015Q4,2824,128
MWI_4_29,both,Y015_999,CY2015Q4,44247,2013
MWI_4_29,both,Y000_014,CY2016Q1,2918,143
MWI_4_29,both,Y015_999,CY2016Q1,45720,2242
MWI_4_29,both,Y000_014,CY2016Q2,2990,149
MWI_4_29,both,Y015_999,CY2016Q2,46845,2336
MWI_4_29,both,Y000_014,CY2016Q3,3119,204
MWI_4_29,both,Y015_999,CY2016Q3,48865,3200
MWI_4_29,both,Y000_014,CY2016Q4,3180,157
MWI_4_29,both,Y015_999,CY2016Q4,49823,2454
MWI_4_29,both,Y000_014,CY2017Q1,3282,202
MWI_4_29,both,Y015_999,CY2017Q1,51423,3171
MWI_4_29,both,Y000_014,CY2017Q2,3391,174
MWI_4_29,both,Y015_999,CY2017Q2,53130,2731
MWI_4_29,both,Y000_014,CY2017Q3,3435,159
MWI_4_29,both,Y015_999,CY2017Q3,53816,2486
MWI_4_29,both,Y000_014,CY2017Q4,3502,151
MWI_4_29,both,Y015_999,CY2017Q4,54868,2373
MWI_4_29,both,Y000_014,CY2018Q1,3623,195
MWI_4_29,both,Y015_999,CY2018Q1,56758,3057
MWI_4_29,both,Y000_014,CY2018Q2,3672,205
MWI_4_29,both,Y015_999,CY2018Q2,57521,3208
MWI_4_29,both,Y000_014,CY2018Q3,3834,243
MWI_4_29,both,Y015_999,CY2018Q3,60071,3800
MWI_4_29,both,Y000_014,CY2018Q4,3873,194
MWI_4_29,both,Y015_999,CY2018Q4,60684,3037
MWI_4_31,both,Y000_014,CY2011Q1,497,42
MWI_4_31,both,Y015_999,CY2011Q1,7780,659
MWI_4_31,both,Y000_014,CY2011Q2,532,33
MWI_4_31,both,Y015_999,CY2011Q2,8335,524
MWI_4_31,both,Y000_014,CY2011Q3,524,45
