area_id,area_name,sex,age_group,year,calendar_quarter,art_current,art_current_adjusted,art_adjustment_factor,art_new,vl_tested_12mos,vl_suppressed_12mos
MWI_3_10_demo,Dowa,both,Y000_014,2011,CY2011Q4,397,397,1,25,NA,NA
MWI_3_10_demo,Dowa,both,Y000_014,2012,CY2012Q4,469,469,1,23,NA,NA
MWI_3_10_demo,Dowa,both,Y000_014,2013,CY2013Q4,523,523,1,19,NA,NA
MWI_3_10_demo,Dowa,both,Y000_014,2014,CY2014Q4,577,577,1,22,NA,NA
MWI_3_10_demo,Dowa,both,Y000_014,2015,CY2015Q4,608,608,1,16,NA,NA
MWI_3_10_demo,Dowa,both,Y000_014,2016,CY2016Q4,679,679,1,21,64,25
MWI_3_10_demo,Dowa,both,Y000_014,2017,CY2017Q4,718,718,1,23,104,58
MWI_3_10_demo,Dowa,both,Y000_014,2018,CY2018Q4,770,770,1,21,504,316
MWI_3_10_demo,Dowa,both,Y000_014,2019,CY2019Q4,794,794,1,NA,545,402
MWI_3_10_demo,Dowa,both,Y000_014,2020,CY2020Q4,816,816,1,NA,NA,NA
MWI_3_10_demo,Dowa,both,Y000_014,2021,CY2021Q4,824,824,1,NA,NA,NA
MWI_3_10_demo,Dowa,both,Y000_014,2022,CY2022Q4,834,834,1,NA,NA,NA
MWI_3_10_demo,Dowa,both,Y000_014,2023,CY2023Q4,836,836,1,NA,NA,NA
MWI_3_10_demo,Dowa,both,Y015_999,2011,CY2011Q4,6213,6213,1,386,NA,NA
MWI_3_10_demo,Dowa,both,Y015_999,2012,CY2012Q4,7354,7354,1,359,NA,NA
MWI_3_10_demo,Dowa,both,Y015_999,2013,CY2013Q4,8195,8195,1,301,NA,NA
MWI_3_10_demo,Dowa,both,Y015_999,2014,CY2014Q4,9032,9032,1,348,NA,NA
MWI_3_10_demo,Dowa,both,Y015_999,2015,CY2015Q4,9532,9532,1,248,NA,NA
MWI_3_10_demo,Dowa,both,Y015_999,2016,CY2016Q4,10641,10641,1,332,751,767
MWI_3_10_demo,Dowa,both,Y015_999,2017,CY2017Q4,11243,11243,1,360,1470,1332
MWI_3_10_demo,Dowa,both,Y015_999,2018,CY2018Q4,12064,12064,1,327,8875,8142
MWI_3_10_demo,Dowa,both,Y015_999,2019,CY2019Q4,12559,12433,0.99,NA,9954,9514
MWI_3_10_demo,Dowa,both,Y015_999,2020,CY2020Q4,13040,12779,0.98,NA,NA,NA
MWI_3_10_demo,Dowa,both,Y015_999,2021,CY2021Q4,13312,12913,0.97,NA,NA,NA
MWI_3_10_demo,Dowa,both,Y015_999,2022,CY2022Q4,13615,13070,0.96,NA,NA,NA
MWI_3_10_demo,Dowa,both,Y015_999,2023,CY2023Q4,13795,13105,0.95,NA,NA,NA
MWI_3_11_demo,Salima,both,Y000_014,2011,CY2011Q4,390,390,1,51,NA,NA
MWI_3_11_demo,Salima,both,Y000_014,2012,CY2012Q4,478,478,1,30,NA,NA
MWI_3_11_demo,Salima,both,Y000_014,2013,CY2013Q4,542,542,1,23,NA,NA
MWI_3_11_demo,Salima,both,Y000_014,2014,CY2014Q4,638,638,1,31,NA,NA
MWI_3_11_demo,Salima,both,Y000_014,2015,CY2015Q4,714,714,1,29,NA,NA
MWI_3_11_demo,Salima,both,Y000_014,2016,CY2016Q4,823,823,1,38,142,76
MWI_3_11_demo,Salima,both,Y000_014,2017,CY2017Q4,920,920,1,39,235,125
MWI_3_11_demo,Salima,both,Y000_014,2018,CY2018Q4,976,976,1,35,978,534
MWI_3_11_demo,Salima,both,Y000_014,2019,CY2019Q4,1023,1023,1,NA,832,577
MWI_3_11_demo,Salima,both,Y000_014,2020,CY2020Q4,1057,1057,1,NA,NA,NA
MWI_3_11_demo,Salima,both,Y000_014,2021,CY2021Q4,1087,1087,1,NA,NA,NA
MWI_3_11_demo,Salima,both,Y000_014,2022,CY2022Q4,1103,1103,1,NA,NA,NA
MWI_3_11_demo,Salima,both,Y000_014,2023,CY2023Q4,1126,1126,1,NA,NA,NA
MWI_3_11_demo,Salima,both,Y015_999,2011,CY2011Q4,6105,6105,1,798,NA,NA
MWI_3_11_demo,Salima,both,Y015_999,2012,CY2012Q4,7488,7488,1,463,NA,NA
MWI_3_11_demo,Salima,both,Y015_999,2013,CY2013Q4,8488,8488,1,366,NA,NA
MWI_3_11_demo,Salima,both,Y015_999,2014,CY2014Q4,9990,9990,1,490,NA,NA
MWI_3_11_demo,Salima,both,Y015_999,2015,CY2015Q4,11188,11188,1,452,NA,NA
MWI_3_11_demo,Salima,both,Y015_999,2016,CY2016Q4,12895,12895,1,598,1535,1451
MWI_3_11_demo,Salima,both,Y015_999,2017,CY2017Q4,14421,14421,1,619,2000,1821
MWI_3_11_demo,Salima,both,Y015_999,2018,CY2018Q4,15298,15298,1,552,11842,10714
MWI_3_11_demo,Salima,both,Y015_999,2019,CY2019Q4,16192,16030,0.99,NA,10580,10056
MWI_3_11_demo,Salima,both,Y015_999,2020,CY2020Q4,16903,16565,0.98,NA,NA,NA
MWI_3_11_demo,Salima,both,Y015_999,2021,CY2021Q4,17558,17031,0.97,NA,NA,NA
MWI_3_11_demo,Salima,both,Y015_999,2022,CY2022Q4,17998,17278,0.96,NA,NA,NA
MWI_3_11_demo,Salima,both,Y015_999,2023,CY2023Q4,18571,17642,0.95,NA,NA,NA
MWI_3_12_demo,Mchinji,both,Y000_014,2011,CY2011Q4,345,345,1,29,NA,NA
MWI_3_12_demo,Mchinji,both,Y000_014,2012,CY2012Q4,444,444,1,27,NA,NA
MWI_3_12_demo,Mchinji,both,Y000_014,2013,CY2013Q4,533,533,1,26,NA,NA
MWI_3_12_demo,Mchinji,both,Y000_014,2014,CY2014Q4,622,622,1,31,NA,NA
MWI_3_12_demo,Mchinji,both,Y000_014,2015,CY2015Q4,713,713,1,31,NA,NA
MWI_3_12_demo,Mchinji,both,Y000_014,2016,CY2016Q4,844,844,1,40,156,92
MWI_3_12_demo,Mchinji,both,Y000_014,2017,CY2017Q4,928,928,1,39,196,126
MWI_3_12_demo,Mchinji,both,Y000_014,2018,CY2018Q4,1011,1011,1,32,790,507
MWI_3_12_demo,Mchinji,both,Y000_014,2019,CY2019Q4,1032,1032,1,NA,525,394
MWI_3_12_demo,Mchinji,both,Y000_014,2020,CY2020Q4,1077,1077,1,NA,NA,NA
MWI_3_12_demo,Mchinji,both,Y000_014,2021,CY2021Q4,1154,1154,1,NA,NA,NA
MWI_3_12_demo,Mchinji,both,Y000_014,2022,CY2022Q4,1190,1190,1,NA,NA,NA
MWI_3_12_demo,Mchinji,both,Y000_014,2023,CY2023Q4,1240,1240,1,NA,NA,NA
MWI_3_12_demo,Mchinji,both,Y015_999,2011,CY2011Q4,5405,5405,1,451,NA,NA
MWI_3_12_demo,Mchinji,both,Y015_999,2012,CY2012Q4,6948,6948,1,422,NA,NA
MWI_3_12_demo,Mchinji,both,Y015_999,2013,CY2013Q4,8353,8353,1,414,NA,NA
