area_id,area_name,sex,age_group,year,calendar_quarter,art_current,art_current_adjusted,art_adjustment_factor,art_new,vl_tested_12mos,vl_suppressed_12mos
MWI_4_1_demo,Chitipa,both,Y000_014,2011,CY2011Q4,127,127,1,9,,
MWI_4_1_demo,Chitipa,both,Y015_999,2011,CY2011Q4,1989,1989,1,144,,
MWI_4_1_demo,Chitipa,both,Y000_014,2012,CY2012Q4,160,160,1,8,,
MWI_4_1_demo,Chitipa,both,Y015_999,2012,CY2012Q4,2503,2503,1,118,,
MWI_4_1_demo,Chitipa,both,Y000_014,2013,CY2013Q4,194,194,1,9,,
MWI_4_1_demo,Chitipa,both,Y015_999,2013,CY2013Q4,3047,3047,1,148,,
MWI_4_1_demo,Chitipa,both,Y000_014,2014,CY2014Q4,219,219,1,9,,
MWI_4_1_demo,Chitipa,both,Y015_999,2014,CY2014Q4,3428,3428,1,137,,
MWI_4_1_demo,Chitipa,both,Y000_014,2015,CY2015Q4,256,256,1,9,,
MWI_4_1_demo,Chitipa,both,Y015_999,2015,CY2015Q4,4008,4008,1,145,,
MWI_4_1_demo,Chitipa,both,Y000_014,2016,CY2016Q4,290,290,1,9,27,18
MWI_4_1_demo,Chitipa,both,Y015_999,2016,CY2016Q4,4536,4536,1,140,431,371
MWI_4_1_demo,Chitipa,both,Y000_014,2017,CY2017Q4,299,299,1,10,26,21
MWI_4_1_demo,Chitipa,both,Y015_999,2017,CY2017Q4,4681,4681,1,158,314,293
MWI_4_1_demo,Chitipa,both,Y000_014,2018,CY2018Q4,358,358,1,9,224,116
MWI_4_1_demo,Chitipa,both,Y015_999,2018,CY2018Q4,5614,5614,1,137,3226,2875
MWI_4_1_demo,Chitipa,both,Y000_014,2019,CY2019Q4,306,306,1,,172,120
MWI_4_1_demo,Chitipa,both,Y015_999,2019,CY2019Q4,4838,4790,0.99,,2848,2689
MWI_4_1_demo,Chitipa,both,Y000_014,2020,CY2020Q4,317,317,1,,,
MWI_4_1_demo,Chitipa,both,Y015_999,2020,CY2020Q4,5063,4962,0.98,,,
MWI_4_1_demo,Chitipa,both,Y000_014,2021,CY2021Q4,339,339,1,,,
MWI_4_1_demo,Chitipa,both,Y015_999,2021,CY2021Q4,5468,5304,0.97,,,
MWI_4_1_demo,Chitipa,both,Y000_014,2022,CY2022Q4,355,355,1,,,
MWI_4_1_demo,Chitipa,both,Y015_999,2022,CY2022Q4,5790,5558,0.96,,,
MWI_4_1_demo,Chitipa,both,Y000_014,2023,CY2023Q4,360,360,1,,,
